country,department,course_name,mandatory_flag,assignment_month,learning_record_count,completed_count,overdue_count,completion_rate,overdue_rate,avg_days_to_complete
France,Finance,Advanced Analytics,0,2026-03-01 00:00:00,1,0,0,0.0,0.0,
Netherlands,Customer Support,Advanced Analytics,0,2025-12-01 00:00:00,1,1,0,1.0,0.0,34.0
UK,People,Advanced Analytics,0,2026-03-01 00:00:00,4,4,0,1.0,0.0,6.0
UK,People,Stakeholder Management,0,2025-03-01 00:00:00,3,3,0,1.0,0.0,12.0
Germany,Customer Support,Code of Conduct,1,2026-03-01 00:00:00,2,2,0,1.0,0.0,22.0
Germany,Supply Chain,Data Protection,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,15.0
France,Customer Support,Leadership Essentials,0,2025-02-01 00:00:00,1,0,1,0.0,1.0,
UK,Supply Chain,Leadership Essentials,0,2025-12-01 00:00:00,6,3,3,0.5,0.5,37.0
France,Commercial,Advanced Analytics,0,2026-01-01 00:00:00,2,2,0,1.0,0.0,27.5
UK,People,Leadership Essentials,0,2025-11-01 00:00:00,5,5,0,1.0,0.0,5.6
UK,Operations,Code of Conduct,1,2025-07-01 00:00:00,6,5,1,0.8333,0.1667,32.8
Germany,Customer Support,Leadership Essentials,0,2025-05-01 00:00:00,3,2,1,0.6667,0.3333,17.0
Germany,Customer Support,Leadership Essentials,0,2025-03-01 00:00:00,2,1,1,0.5,0.5,42.0
UK,Sales,Advanced Analytics,0,2025-09-01 00:00:00,5,4,1,0.8,0.2,16.0
France,Supply Chain,Leadership Essentials,0,2025-03-01 00:00:00,2,0,2,0.0,1.0,
Germany,Technology,Leadership Essentials,0,2025-03-01 00:00:00,2,0,2,0.0,1.0,
France,Supply Chain,Leadership Essentials,0,2026-01-01 00:00:00,1,0,0,0.0,0.0,
Netherlands,Finance,Data Protection,1,2025-01-01 00:00:00,1,1,0,1.0,0.0,1.0
Netherlands,Finance,Stakeholder Management,0,2025-02-01 00:00:00,1,1,0,1.0,0.0,16.0
Germany,Customer Support,Leadership Essentials,0,2025-08-01 00:00:00,2,1,1,0.5,0.5,29.0
Netherlands,Operations,Code of Conduct,1,2025-01-01 00:00:00,2,2,0,1.0,0.0,28.5
Germany,People,Code of Conduct,1,2025-06-01 00:00:00,2,2,0,1.0,0.0,7.5
Germany,Supply Chain,Code of Conduct,1,2026-02-01 00:00:00,2,0,2,0.0,1.0,
Germany,Sales,Health and Safety,1,2025-04-01 00:00:00,2,2,0,1.0,0.0,17.5
Ireland,Operations,Data Protection,1,2025-10-01 00:00:00,1,0,1,0.0,1.0,
UK,Customer Support,Data Protection,1,2025-06-01 00:00:00,1,0,1,0.0,1.0,
Netherlands,Supply Chain,Data Protection,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,26.0
France,Commercial,Leadership Essentials,0,2025-02-01 00:00:00,1,1,0,1.0,0.0,23.0
France,Supply Chain,Advanced Analytics,0,2025-03-01 00:00:00,2,0,2,0.0,1.0,
Ireland,Operations,Health and Safety,1,2025-05-01 00:00:00,2,0,2,0.0,1.0,
France,Operations,Data Protection,1,2025-06-01 00:00:00,2,2,0,1.0,0.0,16.0
France,People,Leadership Essentials,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
UK,Finance,Leadership Essentials,0,2026-03-01 00:00:00,1,1,0,1.0,0.0,7.0
Netherlands,Commercial,Stakeholder Management,0,2025-08-01 00:00:00,2,2,0,1.0,0.0,17.0
France,Operations,Code of Conduct,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,10.0
UK,People,Leadership Essentials,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,12.0
Germany,Sales,Data Protection,1,2025-06-01 00:00:00,3,2,1,0.6667,0.3333,22.0
France,Customer Support,Code of Conduct,1,2025-04-01 00:00:00,1,0,1,0.0,1.0,
Germany,Technology,Health and Safety,1,2026-02-01 00:00:00,1,1,0,1.0,0.0,12.0
UK,Technology,Health and Safety,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,14.0
Germany,People,Stakeholder Management,0,2026-02-01 00:00:00,2,1,0,0.5,0.0,4.0
UK,Finance,Data Protection,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,8.0
Netherlands,Supply Chain,Advanced Analytics,0,2025-07-01 00:00:00,1,1,0,1.0,0.0,7.0
Germany,Commercial,Advanced Analytics,0,2025-06-01 00:00:00,1,0,1,0.0,1.0,
France,Supply Chain,Code of Conduct,1,2025-07-01 00:00:00,1,0,1,0.0,1.0,
Germany,Commercial,Data Protection,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,24.0
Netherlands,Customer Support,Stakeholder Management,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,2.0
France,Supply Chain,Leadership Essentials,0,2025-08-01 00:00:00,1,0,1,0.0,1.0,
Germany,Sales,Leadership Essentials,0,2025-03-01 00:00:00,1,0,1,0.0,1.0,
Netherlands,Operations,Code of Conduct,1,2025-11-01 00:00:00,1,0,1,0.0,1.0,
Germany,Customer Support,Data Protection,1,2025-10-01 00:00:00,3,3,0,1.0,0.0,14.3
UK,People,Stakeholder Management,0,2025-08-01 00:00:00,1,1,0,1.0,0.0,10.0
Netherlands,Operations,Data Protection,1,2025-03-01 00:00:00,1,0,1,0.0,1.0,
UK,Finance,Health and Safety,1,2025-09-01 00:00:00,1,1,0,1.0,0.0,8.0
Ireland,Sales,Leadership Essentials,0,2026-02-01 00:00:00,1,0,0,0.0,0.0,
Germany,Commercial,Data Protection,1,2025-08-01 00:00:00,1,1,0,1.0,0.0,22.0
Germany,Technology,Leadership Essentials,0,2025-08-01 00:00:00,2,1,1,0.5,0.5,19.0
Germany,Customer Support,Leadership Essentials,0,2026-01-01 00:00:00,3,1,0,0.3333,0.0,31.0
UK,Commercial,Leadership Essentials,0,2025-07-01 00:00:00,1,1,0,1.0,0.0,29.0
France,Technology,Stakeholder Management,0,2026-03-01 00:00:00,1,1,0,1.0,0.0,18.0
UK,People,Stakeholder Management,0,2026-01-01 00:00:00,1,1,0,1.0,0.0,10.0
Ireland,Technology,Stakeholder Management,0,2026-02-01 00:00:00,1,1,0,1.0,0.0,29.0
Germany,Finance,Advanced Analytics,0,2025-08-01 00:00:00,1,1,0,1.0,0.0,3.0
Germany,Operations,Advanced Analytics,0,2025-12-01 00:00:00,4,1,3,0.25,0.75,47.0
Netherlands,Operations,Advanced Analytics,0,2025-03-01 00:00:00,2,1,1,0.5,0.5,8.0
UK,Customer Support,Health and Safety,1,2025-06-01 00:00:00,4,4,0,1.0,0.0,16.0
UK,Operations,Code of Conduct,1,2026-01-01 00:00:00,11,11,0,1.0,0.0,28.9
Germany,Supply Chain,Data Protection,1,2025-05-01 00:00:00,3,0,3,0.0,1.0,
UK,Operations,Code of Conduct,1,2025-03-01 00:00:00,6,2,4,0.3333,0.6667,24.5
UK,Operations,Advanced Analytics,0,2026-01-01 00:00:00,21,8,0,0.381,0.0,41.9
UK,People,Stakeholder Management,0,2025-07-01 00:00:00,2,2,0,1.0,0.0,10.5
UK,Operations,Code of Conduct,1,2025-05-01 00:00:00,12,8,4,0.6667,0.3333,30.6
UK,Sales,Leadership Essentials,0,2025-10-01 00:00:00,6,5,1,0.8333,0.1667,19.8
UK,Operations,Advanced Analytics,0,2025-05-01 00:00:00,19,10,9,0.5263,0.4737,26.4
France,Customer Support,Code of Conduct,1,2026-02-01 00:00:00,2,2,0,1.0,0.0,21.0
UK,Operations,Health and Safety,1,2025-09-01 00:00:00,9,4,5,0.4444,0.5556,26.8
UK,Sales,Stakeholder Management,0,2026-01-01 00:00:00,5,4,0,0.8,0.0,10.5
UK,Supply Chain,Stakeholder Management,0,2025-12-01 00:00:00,4,4,0,1.0,0.0,28.8
Ireland,Supply Chain,Data Protection,1,2026-03-01 00:00:00,2,2,0,1.0,0.0,11.5
France,Operations,Health and Safety,1,2025-02-01 00:00:00,2,1,1,0.5,0.5,23.0
UK,Sales,Stakeholder Management,0,2025-03-01 00:00:00,3,1,2,0.3333,0.6667,10.0
UK,Sales,Advanced Analytics,0,2025-12-01 00:00:00,6,6,0,1.0,0.0,28.0
UK,Operations,Advanced Analytics,0,2025-03-01 00:00:00,14,7,7,0.5,0.5,31.7
UK,Operations,Advanced Analytics,0,2025-08-01 00:00:00,11,5,6,0.4545,0.5455,35.0
France,Supply Chain,Leadership Essentials,0,2025-07-01 00:00:00,4,2,2,0.5,0.5,47.5
UK,Operations,Code of Conduct,1,2025-08-01 00:00:00,12,7,5,0.5833,0.4167,34.1
UK,Operations,Leadership Essentials,0,2026-02-01 00:00:00,11,7,0,0.6364,0.0,34.4
France,Supply Chain,Advanced Analytics,0,2025-07-01 00:00:00,3,1,2,0.3333,0.6667,41.0
Germany,Commercial,Leadership Essentials,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,8.0
Germany,Technology,Data Protection,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,8.0
Netherlands,Commercial,Advanced Analytics,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,2.0
UK,Finance,Advanced Analytics,0,2025-01-01 00:00:00,10,9,1,0.9,0.1,10.2
UK,Supply Chain,Leadership Essentials,0,2025-09-01 00:00:00,8,2,6,0.25,0.75,40.5
Netherlands,Operations,Data Protection,1,2025-07-01 00:00:00,1,0,1,0.0,1.0,
Germany,Sales,Health and Safety,1,2026-02-01 00:00:00,3,1,2,0.3333,0.6667,18.0
UK,Supply Chain,Advanced Analytics,0,2026-03-01 00:00:00,11,5,0,0.4545,0.0,13.2
France,Commercial,Data Protection,1,2025-12-01 00:00:00,2,1,1,0.5,0.5,7.0
Germany,Operations,Stakeholder Management,0,2025-06-01 00:00:00,5,0,5,0.0,1.0,
Germany,Sales,Leadership Essentials,0,2025-07-01 00:00:00,1,1,0,1.0,0.0,11.0
France,People,Stakeholder Management,0,2025-01-01 00:00:00,2,2,0,1.0,0.0,5.5
Netherlands,Supply Chain,Advanced Analytics,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
UK,Finance,Data Protection,1,2025-07-01 00:00:00,3,3,0,1.0,0.0,6.3
France,Customer Support,Stakeholder Management,0,2025-09-01 00:00:00,2,0,2,0.0,1.0,
UK,Supply Chain,Health and Safety,1,2025-10-01 00:00:00,7,7,0,1.0,0.0,24.7
UK,Customer Support,Leadership Essentials,0,2025-02-01 00:00:00,4,1,3,0.25,0.75,18.0
Netherlands,Operations,Leadership Essentials,0,2025-10-01 00:00:00,2,2,0,1.0,0.0,50.5
France,Customer Support,Leadership Essentials,0,2025-01-01 00:00:00,3,1,2,0.3333,0.6667,42.0
France,Operations,Stakeholder Management,0,2026-01-01 00:00:00,3,1,0,0.3333,0.0,56.0
France,Operations,Stakeholder Management,0,2025-05-01 00:00:00,4,2,2,0.5,0.5,52.5
Germany,Supply Chain,Leadership Essentials,0,2025-10-01 00:00:00,3,1,2,0.3333,0.6667,17.0
UK,Technology,Advanced Analytics,0,2025-02-01 00:00:00,3,3,0,1.0,0.0,11.0
Germany,Technology,Leadership Essentials,0,2025-07-01 00:00:00,4,3,1,0.75,0.25,15.0
Netherlands,Sales,Stakeholder Management,0,2025-11-01 00:00:00,3,2,1,0.6667,0.3333,22.0
Netherlands,Operations,Advanced Analytics,0,2025-08-01 00:00:00,3,3,0,1.0,0.0,40.7
UK,Customer Support,Advanced Analytics,0,2025-12-01 00:00:00,3,1,2,0.3333,0.6667,31.0
France,Supply Chain,Health and Safety,1,2025-08-01 00:00:00,2,2,0,1.0,0.0,20.5
Ireland,Operations,Health and Safety,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,11.0
UK,Customer Support,Code of Conduct,1,2025-10-01 00:00:00,2,1,1,0.5,0.5,15.0
France,Technology,Data Protection,1,2025-08-01 00:00:00,1,1,0,1.0,0.0,17.0
France,Technology,Leadership Essentials,0,2025-04-01 00:00:00,2,2,0,1.0,0.0,21.5
Netherlands,Sales,Advanced Analytics,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,34.0
UK,Technology,Code of Conduct,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,8.0
UK,People,Health and Safety,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,7.0
France,Supply Chain,Health and Safety,1,2026-01-01 00:00:00,3,2,1,0.6667,0.3333,34.5
Ireland,Customer Support,Leadership Essentials,0,2025-09-01 00:00:00,2,2,0,1.0,0.0,18.5
France,Operations,Stakeholder Management,0,2025-03-01 00:00:00,2,0,2,0.0,1.0,
Germany,Supply Chain,Stakeholder Management,0,2025-06-01 00:00:00,3,1,2,0.3333,0.6667,24.0
Ireland,Technology,Leadership Essentials,0,2025-10-01 00:00:00,2,1,1,0.5,0.5,13.0
Netherlands,Supply Chain,Data Protection,1,2025-01-01 00:00:00,1,1,0,1.0,0.0,13.0
UK,Sales,Data Protection,1,2026-02-01 00:00:00,2,2,0,1.0,0.0,12.5
Germany,Customer Support,Advanced Analytics,0,2025-12-01 00:00:00,2,1,1,0.5,0.5,9.0
Ireland,Technology,Advanced Analytics,0,2025-06-01 00:00:00,2,1,1,0.5,0.5,4.0
Germany,Customer Support,Leadership Essentials,0,2025-07-01 00:00:00,2,1,1,0.5,0.5,17.0
Germany,Operations,Health and Safety,1,2026-02-01 00:00:00,5,2,3,0.4,0.6,33.0
France,Technology,Data Protection,1,2025-05-01 00:00:00,1,1,0,1.0,0.0,16.0
UK,People,Code of Conduct,1,2025-06-01 00:00:00,1,1,0,1.0,0.0,8.0
Germany,Customer Support,Stakeholder Management,0,2026-03-01 00:00:00,2,1,0,0.5,0.0,18.0
Ireland,Operations,Code of Conduct,1,2025-01-01 00:00:00,1,0,1,0.0,1.0,
UK,People,Leadership Essentials,0,2025-02-01 00:00:00,4,4,0,1.0,0.0,9.5
France,Customer Support,Leadership Essentials,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,15.0
UK,Technology,Data Protection,1,2025-06-01 00:00:00,2,2,0,1.0,0.0,9.0
Netherlands,Finance,Stakeholder Management,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,8.0
UK,Sales,Stakeholder Management,0,2025-08-01 00:00:00,2,2,0,1.0,0.0,22.0
Ireland,People,Stakeholder Management,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,6.0
Germany,Commercial,Data Protection,1,2025-07-01 00:00:00,2,2,0,1.0,0.0,10.5
France,Customer Support,Advanced Analytics,0,2025-04-01 00:00:00,3,0,3,0.0,1.0,
UK,Finance,Stakeholder Management,0,2025-02-01 00:00:00,1,1,0,1.0,0.0,4.0
UK,Commercial,Leadership Essentials,0,2025-05-01 00:00:00,3,3,0,1.0,0.0,17.3
Ireland,Finance,Advanced Analytics,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,23.0
France,People,Leadership Essentials,0,2025-07-01 00:00:00,3,3,0,1.0,0.0,9.0
UK,Finance,Advanced Analytics,0,2025-11-01 00:00:00,2,2,0,1.0,0.0,9.0
Germany,People,Stakeholder Management,0,2025-04-01 00:00:00,3,2,1,0.6667,0.3333,6.5
Netherlands,Supply Chain,Advanced Analytics,0,2025-08-01 00:00:00,2,1,1,0.5,0.5,35.0
Netherlands,Supply Chain,Advanced Analytics,0,2025-03-01 00:00:00,2,2,0,1.0,0.0,12.5
Germany,Supply Chain,Code of Conduct,1,2025-04-01 00:00:00,3,0,3,0.0,1.0,
UK,Commercial,Code of Conduct,1,2026-03-01 00:00:00,1,1,0,1.0,0.0,5.0
UK,Sales,Stakeholder Management,0,2025-05-01 00:00:00,3,3,0,1.0,0.0,21.0
France,Operations,Leadership Essentials,0,2026-02-01 00:00:00,4,1,0,0.25,0.0,26.0
France,People,Data Protection,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,3.0
France,Operations,Code of Conduct,1,2025-09-01 00:00:00,4,3,1,0.75,0.25,19.3
Germany,People,Advanced Analytics,0,2025-06-01 00:00:00,2,2,0,1.0,0.0,17.0
Netherlands,Commercial,Stakeholder Management,0,2025-07-01 00:00:00,1,1,0,1.0,0.0,30.0
Netherlands,Supply Chain,Code of Conduct,1,2025-09-01 00:00:00,1,1,0,1.0,0.0,16.0
Germany,Supply Chain,Data Protection,1,2025-08-01 00:00:00,4,4,0,1.0,0.0,33.3
Ireland,Operations,Advanced Analytics,0,2025-11-01 00:00:00,1,0,1,0.0,1.0,
Germany,Technology,Advanced Analytics,0,2026-03-01 00:00:00,3,1,0,0.3333,0.0,0.0
Netherlands,Sales,Health and Safety,1,2025-04-01 00:00:00,1,1,0,1.0,0.0,10.0
Netherlands,Sales,Advanced Analytics,0,2025-01-01 00:00:00,2,1,1,0.5,0.5,30.0
Germany,Supply Chain,Data Protection,1,2025-03-01 00:00:00,2,1,1,0.5,0.5,12.0
Germany,Supply Chain,Data Protection,1,2026-01-01 00:00:00,2,0,2,0.0,1.0,
Netherlands,Operations,Code of Conduct,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,43.0
Netherlands,Operations,Stakeholder Management,0,2025-12-01 00:00:00,1,1,0,1.0,0.0,46.0
France,People,Advanced Analytics,0,2025-06-01 00:00:00,2,2,0,1.0,0.0,7.5
France,Sales,Stakeholder Management,0,2026-03-01 00:00:00,1,1,0,1.0,0.0,6.0
France,Supply Chain,Code of Conduct,1,2026-01-01 00:00:00,2,2,0,1.0,0.0,27.5
Netherlands,Supply Chain,Data Protection,1,2025-11-01 00:00:00,1,1,0,1.0,0.0,38.0
Netherlands,Supply Chain,Advanced Analytics,0,2026-01-01 00:00:00,2,1,0,0.5,0.0,52.0
Ireland,Finance,Leadership Essentials,0,2025-05-01 00:00:00,1,1,0,1.0,0.0,21.0
France,People,Stakeholder Management,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,4.0
UK,Commercial,Data Protection,1,2025-09-01 00:00:00,1,1,0,1.0,0.0,13.0
France,Finance,Leadership Essentials,0,2025-12-01 00:00:00,1,0,1,0.0,1.0,
UK,Technology,Stakeholder Management,0,2025-06-01 00:00:00,2,1,1,0.5,0.5,25.0
Ireland,Operations,Advanced Analytics,0,2025-01-01 00:00:00,1,0,1,0.0,1.0,
France,Commercial,Code of Conduct,1,2025-11-01 00:00:00,1,0,1,0.0,1.0,
UK,Commercial,Leadership Essentials,0,2025-03-01 00:00:00,1,0,1,0.0,1.0,
Ireland,People,Leadership Essentials,0,2026-03-01 00:00:00,1,1,0,1.0,0.0,7.0
Netherlands,Finance,Leadership Essentials,0,2025-04-01 00:00:00,1,1,0,1.0,0.0,17.0
Germany,Commercial,Health and Safety,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,19.0
Ireland,Commercial,Data Protection,1,2025-08-01 00:00:00,1,1,0,1.0,0.0,5.0
Ireland,Customer Support,Code of Conduct,1,2025-01-01 00:00:00,1,1,0,1.0,0.0,11.0
France,Commercial,Leadership Essentials,0,2025-01-01 00:00:00,1,0,1,0.0,1.0,
UK,Commercial,Leadership Essentials,0,2025-08-01 00:00:00,1,0,1,0.0,1.0,
Ireland,Customer Support,Advanced Analytics,0,2025-03-01 00:00:00,2,1,1,0.5,0.5,17.0
UK,Supply Chain,Stakeholder Management,0,2025-01-01 00:00:00,7,3,4,0.4286,0.5714,38.7
Netherlands,Operations,Stakeholder Management,0,2025-01-01 00:00:00,1,0,1,0.0,1.0,
Netherlands,Operations,Health and Safety,1,2025-05-01 00:00:00,2,2,0,1.0,0.0,25.0
France,Customer Support,Health and Safety,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,30.0
Germany,Operations,Leadership Essentials,0,2025-06-01 00:00:00,5,2,3,0.4,0.6,38.5
UK,Customer Support,Advanced Analytics,0,2025-01-01 00:00:00,5,2,3,0.4,0.6,17.5
Ireland,Operations,Data Protection,1,2025-05-01 00:00:00,3,3,0,1.0,0.0,30.7
UK,Operations,Data Protection,1,2025-08-01 00:00:00,10,6,4,0.6,0.4,19.2
Germany,Customer Support,Advanced Analytics,0,2025-11-01 00:00:00,1,0,1,0.0,1.0,
UK,Commercial,Stakeholder Management,0,2026-01-01 00:00:00,3,2,1,0.6667,0.3333,20.5
UK,Supply Chain,Data Protection,1,2025-03-01 00:00:00,7,4,3,0.5714,0.4286,30.5
France,Operations,Advanced Analytics,0,2025-06-01 00:00:00,2,1,1,0.5,0.5,30.0
UK,Customer Support,Stakeholder Management,0,2026-02-01 00:00:00,4,1,0,0.25,0.0,5.0
UK,Operations,Data Protection,1,2026-01-01 00:00:00,11,7,4,0.6364,0.3636,24.0
Germany,Operations,Advanced Analytics,0,2025-11-01 00:00:00,6,0,6,0.0,1.0,
UK,Supply Chain,Stakeholder Management,0,2025-11-01 00:00:00,6,3,3,0.5,0.5,39.0
UK,Finance,Leadership Essentials,0,2026-02-01 00:00:00,5,5,0,1.0,0.0,8.8
Netherlands,Commercial,Code of Conduct,1,2026-02-01 00:00:00,1,1,0,1.0,0.0,9.0
Netherlands,Commercial,Stakeholder Management,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,28.0
UK,Supply Chain,Data Protection,1,2026-01-01 00:00:00,8,5,3,0.625,0.375,23.6
Germany,Operations,Advanced Analytics,0,2025-01-01 00:00:00,8,0,8,0.0,1.0,
UK,Supply Chain,Leadership Essentials,0,2025-02-01 00:00:00,9,6,3,0.6667,0.3333,29.2
Ireland,Technology,Stakeholder Management,0,2026-03-01 00:00:00,1,1,0,1.0,0.0,9.0
UK,Supply Chain,Health and Safety,1,2025-07-01 00:00:00,4,2,2,0.5,0.5,26.0
UK,Technology,Advanced Analytics,0,2025-09-01 00:00:00,2,1,1,0.5,0.5,22.0
UK,Supply Chain,Advanced Analytics,0,2025-04-01 00:00:00,4,3,1,0.75,0.25,41.3
UK,Finance,Advanced Analytics,0,2025-12-01 00:00:00,1,1,0,1.0,0.0,8.0
France,Technology,Stakeholder Management,0,2026-02-01 00:00:00,1,1,0,1.0,0.0,10.0
UK,Commercial,Stakeholder Management,0,2025-05-01 00:00:00,3,1,2,0.3333,0.6667,8.0
UK,Operations,Health and Safety,1,2025-02-01 00:00:00,8,4,4,0.5,0.5,28.5
France,Technology,Leadership Essentials,0,2026-03-01 00:00:00,2,2,0,1.0,0.0,14.5
Germany,Finance,Stakeholder Management,0,2025-03-01 00:00:00,1,1,0,1.0,0.0,7.0
Ireland,Supply Chain,Stakeholder Management,0,2025-06-01 00:00:00,1,1,0,1.0,0.0,40.0
France,People,Leadership Essentials,0,2025-10-01 00:00:00,2,2,0,1.0,0.0,6.0
UK,Supply Chain,Data Protection,1,2025-08-01 00:00:00,5,2,3,0.4,0.6,17.0
UK,Commercial,Advanced Analytics,0,2026-02-01 00:00:00,2,2,0,1.0,0.0,12.0
UK,Commercial,Stakeholder Management,0,2025-03-01 00:00:00,4,2,2,0.5,0.5,18.0
France,Customer Support,Leadership Essentials,0,2025-12-01 00:00:00,2,1,1,0.5,0.5,5.0
Germany,Finance,Stakeholder Management,0,2025-08-01 00:00:00,1,0,1,0.0,1.0,
UK,Sales,Leadership Essentials,0,2025-07-01 00:00:00,5,2,3,0.4,0.6,32.0
Ireland,Operations,Data Protection,1,2025-08-01 00:00:00,2,2,0,1.0,0.0,34.0
Netherlands,Sales,Health and Safety,1,2026-03-01 00:00:00,1,1,0,1.0,0.0,17.0
Germany,Sales,Advanced Analytics,0,2025-03-01 00:00:00,2,1,1,0.5,0.5,6.0
UK,Commercial,Stakeholder Management,0,2025-08-01 00:00:00,2,1,1,0.5,0.5,22.0
UK,Sales,Advanced Analytics,0,2025-01-01 00:00:00,4,4,0,1.0,0.0,17.8
Germany,People,Leadership Essentials,0,2025-06-01 00:00:00,2,2,0,1.0,0.0,13.5
UK,Operations,Data Protection,1,2025-03-01 00:00:00,5,4,1,0.8,0.2,39.8
Netherlands,Customer Support,Stakeholder Management,0,2025-09-01 00:00:00,2,1,1,0.5,0.5,20.0
Netherlands,Supply Chain,Data Protection,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,13.0
Germany,Technology,Health and Safety,1,2026-03-01 00:00:00,2,2,0,1.0,0.0,14.0
UK,Customer Support,Advanced Analytics,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,15.0
France,Customer Support,Data Protection,1,2025-09-01 00:00:00,2,1,1,0.5,0.5,11.0
Ireland,Operations,Code of Conduct,1,2025-12-01 00:00:00,2,1,1,0.5,0.5,30.0
UK,Operations,Data Protection,1,2025-05-01 00:00:00,9,4,5,0.4444,0.5556,25.0
Ireland,Operations,Data Protection,1,2025-03-01 00:00:00,2,0,2,0.0,1.0,
Netherlands,Operations,Leadership Essentials,0,2025-07-01 00:00:00,2,1,1,0.5,0.5,15.0
Germany,Technology,Stakeholder Management,0,2026-02-01 00:00:00,3,1,0,0.3333,0.0,15.0
UK,Finance,Health and Safety,1,2025-11-01 00:00:00,1,1,0,1.0,0.0,2.0
Germany,Customer Support,Data Protection,1,2025-03-01 00:00:00,3,2,1,0.6667,0.3333,20.5
Germany,Sales,Leadership Essentials,0,2025-10-01 00:00:00,3,2,1,0.6667,0.3333,26.0
Germany,Operations,Code of Conduct,1,2026-02-01 00:00:00,2,1,1,0.5,0.5,18.0
Germany,Customer Support,Data Protection,1,2025-05-01 00:00:00,2,1,1,0.5,0.5,29.0
UK,Sales,Code of Conduct,1,2025-06-01 00:00:00,3,3,0,1.0,0.0,14.7
UK,Customer Support,Code of Conduct,1,2025-07-01 00:00:00,5,3,2,0.6,0.4,24.7
Germany,Customer Support,Data Protection,1,2026-01-01 00:00:00,3,2,1,0.6667,0.3333,20.5
UK,Finance,Health and Safety,1,2025-01-01 00:00:00,2,2,0,1.0,0.0,4.5
UK,Commercial,Code of Conduct,1,2025-04-01 00:00:00,3,3,0,1.0,0.0,15.0
UK,Sales,Advanced Analytics,0,2025-11-01 00:00:00,2,1,1,0.5,0.5,32.0
UK,Finance,Data Protection,1,2025-10-01 00:00:00,2,2,0,1.0,0.0,7.5
Netherlands,Operations,Data Protection,1,2025-10-01 00:00:00,2,0,2,0.0,1.0,
Germany,Sales,Stakeholder Management,0,2025-07-01 00:00:00,1,1,0,1.0,0.0,15.0
Netherlands,Operations,Stakeholder Management,0,2025-11-01 00:00:00,1,1,0,1.0,0.0,12.0
UK,Customer Support,Leadership Essentials,0,2025-09-01 00:00:00,2,1,1,0.5,0.5,37.0
France,Commercial,Advanced Analytics,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,26.0
France,Sales,Leadership Essentials,0,2025-04-01 00:00:00,1,1,0,1.0,0.0,20.0
Netherlands,Operations,Health and Safety,1,2025-08-01 00:00:00,1,1,0,1.0,0.0,7.0
Ireland,Operations,Health and Safety,1,2025-10-01 00:00:00,1,0,1,0.0,1.0,
France,Operations,Health and Safety,1,2025-09-01 00:00:00,3,0,3,0.0,1.0,
Netherlands,Customer Support,Advanced Analytics,0,2025-02-01 00:00:00,2,1,1,0.5,0.5,32.0
Netherlands,Sales,Advanced Analytics,0,2025-12-01 00:00:00,2,2,0,1.0,0.0,16.0
Ireland,Supply Chain,Leadership Essentials,0,2025-04-01 00:00:00,2,1,1,0.5,0.5,12.0
Netherlands,Commercial,Data Protection,1,2025-04-01 00:00:00,1,1,0,1.0,0.0,15.0
Netherlands,Commercial,Advanced Analytics,0,2025-12-01 00:00:00,1,0,1,0.0,1.0,
Germany,Commercial,Code of Conduct,1,2026-02-01 00:00:00,1,1,0,1.0,0.0,15.0
Germany,Customer Support,Stakeholder Management,0,2025-04-01 00:00:00,1,0,1,0.0,1.0,
France,Finance,Leadership Essentials,0,2025-11-01 00:00:00,2,2,0,1.0,0.0,10.0
Netherlands,Customer Support,Health and Safety,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,19.0
Germany,Supply Chain,Leadership Essentials,0,2025-07-01 00:00:00,2,0,2,0.0,1.0,
Netherlands,Supply Chain,Leadership Essentials,0,2025-06-01 00:00:00,2,0,2,0.0,1.0,
