country,department,job_role,gender,application_month,application_count,screen_count,interview_count,offer_count,hired_count,screen_rate,interview_rate,offer_rate,hire_rate
UK,Customer Support,Customer Support Rep,Female,2025-04-01 00:00:00,4,3,2,0,0,0.75,0.5,0.0,0.0
UK,Finance,Accountant,Female,2025-08-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,People,HR Advisor,Male,2025-11-01 00:00:00,3,3,2,1,1,1.0,0.6667,0.3333,0.3333
Ireland,Technology,Data Engineer,Male,2025-07-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
France,Finance,Accountant,Female,2025-10-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,People,HR Business Partner,Female,2025-11-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Supply Chain,Procurement Specialist,Female,2025-05-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,Finance,Accountant,Female,2025-05-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
Ireland,Operations,Site Engineer,Female,2025-08-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Operations,Construction Supervisor,Male,2025-08-01 00:00:00,2,2,0,0,0,1.0,0.0,0.0,0.0
Ireland,Commercial,Pricing Manager,Male,2025-05-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,Commercial,Commercial Analyst,Female,2026-01-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
France,Supply Chain,Warehouse Manager,Male,2025-11-01 00:00:00,2,2,2,0,0,1.0,1.0,0.0,0.0
UK,Commercial,Commercial Analyst,Female,2025-11-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,Finance,Accountant,Female,2025-12-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Operations,Site Engineer,Male,2025-05-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Commercial,Commercial Analyst,Female,2025-05-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
Germany,Sales,Sales Executive,Female,2026-02-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
Ireland,Commercial,Pricing Manager,Male,2026-01-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Finance,Accountant,Male,2026-03-01 00:00:00,4,3,1,0,0,0.75,0.25,0.0,0.0
Ireland,Operations,Site Engineer,Female,2025-05-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Operations,Site Engineer,Male,2025-07-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Operations,Construction Supervisor,Male,2025-04-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Finance,Financial Analyst,Female,2026-03-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,People,HR Business Partner,Male,2025-06-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Operations,Site Engineer,Male,2025-10-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Operations,Site Engineer,Male,2025-08-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Operations,Project Manager,Male,2025-06-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Technology,Software Engineer,Female,2026-03-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,Operations,Site Engineer,Male,2025-08-01 00:00:00,5,2,2,0,0,0.4,0.4,0.0,0.0
Germany,Commercial,Pricing Manager,Male,2026-02-01 00:00:00,4,2,1,0,0,0.5,0.25,0.0,0.0
UK,Sales,Sales Executive,Male,2025-10-01 00:00:00,25,20,10,3,2,0.8,0.4,0.12,0.08
Germany,People,HR Business Partner,Male,2025-09-01 00:00:00,6,4,3,2,1,0.6667,0.5,0.3333,0.1667
Netherlands,Customer Support,Customer Success Manager,Male,2025-06-01 00:00:00,5,3,2,1,1,0.6,0.4,0.2,0.2
Germany,Technology,Data Engineer,Male,2026-01-01 00:00:00,10,8,4,0,0,0.8,0.4,0.0,0.0
UK,Technology,Software Engineer,Male,2026-02-01 00:00:00,16,13,6,0,0,0.8125,0.375,0.0,0.0
UK,Sales,Account Manager,Female,2026-03-01 00:00:00,5,5,3,0,0,1.0,0.6,0.0,0.0
France,Operations,Site Engineer,Female,2025-12-01 00:00:00,2,2,1,1,0,1.0,0.5,0.5,0.0
France,Customer Support,Customer Support Rep,Male,2025-09-01 00:00:00,9,8,3,2,2,0.8889,0.3333,0.2222,0.2222
UK,Commercial,Pricing Manager,Female,2025-11-01 00:00:00,3,2,1,1,0,0.6667,0.3333,0.3333,0.0
Germany,People,HR Advisor,Female,2025-09-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
UK,Operations,Construction Supervisor,Male,2026-02-01 00:00:00,11,9,6,2,2,0.8182,0.5455,0.1818,0.1818
UK,Technology,Data Engineer,Male,2025-06-01 00:00:00,14,12,6,2,1,0.8571,0.4286,0.1429,0.0714
Germany,Technology,Data Engineer,Male,2025-08-01 00:00:00,4,3,2,0,0,0.75,0.5,0.0,0.0
Ireland,Finance,Accountant,Male,2025-09-01 00:00:00,3,3,2,0,0,1.0,0.6667,0.0,0.0
UK,Technology,Data Analyst,Male,2025-10-01 00:00:00,12,9,5,1,0,0.75,0.4167,0.0833,0.0
UK,Operations,Site Engineer,Male,2025-07-01 00:00:00,10,7,4,1,0,0.7,0.4,0.1,0.0
UK,Supply Chain,Logistics Coordinator,Male,2025-07-01 00:00:00,19,13,6,4,4,0.6842,0.3158,0.2105,0.2105
UK,Operations,Site Engineer,Female,2025-09-01 00:00:00,4,2,2,0,0,0.5,0.5,0.0,0.0
UK,Customer Support,Customer Support Rep,Female,2026-02-01 00:00:00,4,3,1,1,1,0.75,0.25,0.25,0.25
Germany,Technology,Data Engineer,Male,2025-05-01 00:00:00,11,9,6,3,2,0.8182,0.5455,0.2727,0.1818
UK,People,HR Advisor,Male,2025-09-01 00:00:00,27,16,10,5,4,0.5926,0.3704,0.1852,0.1481
UK,People,HR Advisor,Female,2025-11-01 00:00:00,2,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,Operations,Project Manager,Male,2025-10-01 00:00:00,4,3,0,0,0,0.75,0.0,0.0,0.0
Germany,Sales,Sales Executive,Male,2025-10-01 00:00:00,6,4,1,1,1,0.6667,0.1667,0.1667,0.1667
Ireland,Finance,Financial Analyst,Male,2025-11-01 00:00:00,4,1,1,0,0,0.25,0.25,0.0,0.0
France,Commercial,Commercial Analyst,Male,2025-04-01 00:00:00,4,4,3,1,1,1.0,0.75,0.25,0.25
Germany,Finance,Financial Analyst,Male,2025-04-01 00:00:00,9,4,1,0,0,0.4444,0.1111,0.0,0.0
UK,Supply Chain,Warehouse Manager,Male,2025-12-01 00:00:00,10,6,1,0,0,0.6,0.1,0.0,0.0
France,Customer Support,Customer Success Manager,Male,2025-11-01 00:00:00,5,4,4,3,2,0.8,0.8,0.6,0.4
Germany,Sales,Account Manager,Male,2025-04-01 00:00:00,6,6,5,3,3,1.0,0.8333,0.5,0.5
France,Commercial,Pricing Manager,Male,2025-09-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Netherlands,Commercial,Pricing Manager,Male,2025-11-01 00:00:00,5,3,2,1,1,0.6,0.4,0.2,0.2
UK,Operations,Project Manager,Female,2026-03-01 00:00:00,6,3,2,2,1,0.5,0.3333,0.3333,0.1667
Germany,Operations,Site Engineer,Male,2025-05-01 00:00:00,5,4,2,0,0,0.8,0.4,0.0,0.0
Germany,Supply Chain,Logistics Coordinator,Male,2026-03-01 00:00:00,5,5,2,1,1,1.0,0.4,0.2,0.2
France,Sales,Sales Executive,Male,2026-03-01 00:00:00,5,4,2,1,1,0.8,0.4,0.2,0.2
UK,Technology,Data Engineer,Female,2025-11-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
France,Operations,Project Manager,Male,2026-01-01 00:00:00,4,4,2,1,1,1.0,0.5,0.25,0.25
Germany,Operations,Site Engineer,Male,2026-01-01 00:00:00,7,3,2,1,1,0.4286,0.2857,0.1429,0.1429
Ireland,Commercial,Pricing Manager,Male,2025-07-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,Supply Chain,Warehouse Manager,Female,2026-03-01 00:00:00,4,2,1,0,0,0.5,0.25,0.0,0.0
UK,Customer Support,Customer Success Manager,Female,2025-10-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
France,Finance,Accountant,Male,2026-02-01 00:00:00,2,2,2,1,1,1.0,1.0,0.5,0.5
Germany,Sales,Sales Executive,Female,2025-04-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
Ireland,Sales,Account Manager,Male,2026-02-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
France,Technology,Data Engineer,Male,2025-05-01 00:00:00,2,2,1,1,0,1.0,0.5,0.5,0.0
Netherlands,Operations,Site Engineer,Male,2025-07-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Operations,Site Engineer,Male,2025-09-01 00:00:00,3,2,1,1,1,0.6667,0.3333,0.3333,0.3333
UK,Customer Support,Customer Support Rep,Male,2025-12-01 00:00:00,17,14,8,2,0,0.8235,0.4706,0.1176,0.0
Ireland,Sales,Sales Executive,Male,2026-01-01 00:00:00,2,1,1,1,0,0.5,0.5,0.5,0.0
Ireland,Technology,Data Engineer,Male,2026-01-01 00:00:00,2,2,2,1,1,1.0,1.0,0.5,0.5
Netherlands,Sales,Account Manager,Male,2025-10-01 00:00:00,4,2,1,0,0,0.5,0.25,0.0,0.0
Netherlands,Finance,Accountant,Male,2025-11-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
France,Technology,Data Engineer,Male,2026-01-01 00:00:00,5,3,1,0,0,0.6,0.2,0.0,0.0
Germany,Supply Chain,Warehouse Manager,Male,2025-04-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
France,Customer Support,Customer Success Manager,Female,2025-06-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Germany,Customer Support,Customer Support Rep,Female,2025-10-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Ireland,Sales,Sales Executive,Male,2025-08-01 00:00:00,5,3,2,0,0,0.6,0.4,0.0,0.0
Netherlands,Technology,Software Engineer,Male,2025-04-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
Netherlands,Finance,Financial Analyst,Male,2025-11-01 00:00:00,2,1,1,1,1,0.5,0.5,0.5,0.5
Germany,Finance,Financial Analyst,Female,2025-10-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
Netherlands,Operations,Construction Supervisor,Female,2025-07-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Customer Support,Customer Support Rep,Male,2025-10-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Technology,Data Engineer,Female,2025-06-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
France,People,HR Advisor,Female,2025-06-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Technology,Data Engineer,Male,2025-08-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
France,Operations,Construction Supervisor,Male,2026-02-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Operations,Construction Supervisor,Male,2025-07-01 00:00:00,3,3,2,1,1,1.0,0.6667,0.3333,0.3333
France,Technology,Software Engineer,Male,2025-09-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Commercial,Commercial Analyst,Female,2025-07-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Operations,Project Manager,Male,2025-08-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
Ireland,Commercial,Commercial Analyst,Male,2026-02-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Technology,Data Engineer,Male,2025-08-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
UK,Technology,Data Analyst,Female,2025-10-01 00:00:00,3,3,0,0,0,1.0,0.0,0.0,0.0
Ireland,Operations,Construction Supervisor,Male,2026-03-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Germany,Sales,Account Manager,Female,2026-01-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,Sales,Sales Executive,Female,2025-11-01 00:00:00,3,3,2,2,1,1.0,0.6667,0.6667,0.3333
France,Operations,Project Manager,Male,2025-05-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,Finance,Accountant,Female,2025-07-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
France,Sales,Sales Executive,Female,2025-08-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Technology,Data Engineer,Male,2025-11-01 00:00:00,4,4,2,2,0,1.0,0.5,0.5,0.0
France,Customer Support,Customer Support Rep,Female,2025-12-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Sales,Account Manager,Male,2025-04-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Sales,Sales Executive,Female,2026-01-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
France,Sales,Sales Executive,Female,2025-05-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Germany,Supply Chain,Warehouse Manager,Female,2026-03-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Customer Support,Customer Support Rep,Male,2025-10-01 00:00:00,2,2,2,1,1,1.0,1.0,0.5,0.5
Germany,People,HR Business Partner,Female,2025-09-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,Supply Chain,Logistics Coordinator,Female,2025-09-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Operations,Project Manager,Female,2025-04-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Finance,Financial Analyst,Male,2025-06-01 00:00:00,5,2,2,0,0,0.4,0.4,0.0,0.0
UK,Commercial,Pricing Manager,Female,2025-10-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,Finance,Accountant,Male,2026-03-01 00:00:00,29,24,14,4,3,0.8276,0.4828,0.1379,0.1034
Germany,Technology,Data Analyst,Male,2025-04-01 00:00:00,3,2,2,0,0,0.6667,0.6667,0.0,0.0
Netherlands,Supply Chain,Warehouse Manager,Male,2025-04-01 00:00:00,3,3,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Commercial,Pricing Manager,Male,2025-10-01 00:00:00,5,4,2,2,1,0.8,0.4,0.4,0.2
France,Supply Chain,Logistics Coordinator,Male,2026-03-01 00:00:00,4,3,2,1,0,0.75,0.5,0.25,0.0
UK,People,HR Business Partner,Male,2025-06-01 00:00:00,15,12,7,3,2,0.8,0.4667,0.2,0.1333
Germany,People,HR Advisor,Female,2026-01-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
UK,Supply Chain,Logistics Coordinator,Male,2025-12-01 00:00:00,12,6,4,2,2,0.5,0.3333,0.1667,0.1667
UK,People,HR Advisor,Male,2025-08-01 00:00:00,23,13,7,2,1,0.5652,0.3043,0.087,0.0435
France,Customer Support,Customer Support Rep,Male,2025-05-01 00:00:00,4,4,3,1,0,1.0,0.75,0.25,0.0
Germany,Customer Support,Customer Success Manager,Male,2026-03-01 00:00:00,4,4,1,0,0,1.0,0.25,0.0,0.0
France,Technology,Software Engineer,Male,2025-08-01 00:00:00,4,3,3,2,2,0.75,0.75,0.5,0.5
UK,People,HR Advisor,Male,2026-01-01 00:00:00,17,11,7,4,3,0.6471,0.4118,0.2353,0.1765
UK,Operations,Project Manager,Male,2026-03-01 00:00:00,15,13,9,4,4,0.8667,0.6,0.2667,0.2667
Germany,Supply Chain,Procurement Specialist,Male,2025-06-01 00:00:00,7,3,2,1,1,0.4286,0.2857,0.1429,0.1429
UK,Sales,Sales Executive,Female,2025-10-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
UK,Supply Chain,Procurement Specialist,Male,2026-03-01 00:00:00,13,9,3,1,1,0.6923,0.2308,0.0769,0.0769
UK,Customer Support,Customer Support Rep,Male,2025-07-01 00:00:00,18,12,7,6,4,0.6667,0.3889,0.3333,0.2222
UK,People,HR Advisor,Male,2025-05-01 00:00:00,20,15,9,4,3,0.75,0.45,0.2,0.15
Netherlands,Operations,Site Engineer,Male,2025-12-01 00:00:00,3,2,1,1,1,0.6667,0.3333,0.3333,0.3333
Germany,Operations,Construction Supervisor,Male,2025-04-01 00:00:00,3,3,1,1,1,1.0,0.3333,0.3333,0.3333
UK,Commercial,Commercial Analyst,Male,2025-04-01 00:00:00,24,20,8,4,3,0.8333,0.3333,0.1667,0.125
Germany,Customer Support,Customer Success Manager,Female,2025-07-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Customer Support,Customer Support Rep,Male,2026-03-01 00:00:00,11,9,4,2,2,0.8182,0.3636,0.1818,0.1818
UK,Finance,Financial Analyst,Male,2025-06-01 00:00:00,21,14,6,3,1,0.6667,0.2857,0.1429,0.0476
UK,Technology,Data Analyst,Male,2025-11-01 00:00:00,15,10,9,1,1,0.6667,0.6,0.0667,0.0667
UK,Supply Chain,Warehouse Manager,Male,2025-07-01 00:00:00,12,9,4,2,1,0.75,0.3333,0.1667,0.0833
UK,Customer Support,Customer Success Manager,Female,2025-11-01 00:00:00,3,2,1,1,0,0.6667,0.3333,0.3333,0.0
Ireland,Sales,Sales Executive,Male,2025-09-01 00:00:00,4,1,1,0,0,0.25,0.25,0.0,0.0
UK,Finance,Financial Analyst,Female,2025-04-01 00:00:00,8,4,3,1,0,0.5,0.375,0.125,0.0
Germany,Sales,Sales Executive,Male,2025-11-01 00:00:00,13,12,3,2,1,0.9231,0.2308,0.1538,0.0769
France,Finance,Financial Analyst,Female,2025-04-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
UK,Sales,Account Manager,Male,2026-02-01 00:00:00,25,19,10,3,2,0.76,0.4,0.12,0.08
Ireland,Finance,Financial Analyst,Male,2025-10-01 00:00:00,5,4,1,1,1,0.8,0.2,0.2,0.2
Germany,Finance,Accountant,Male,2025-06-01 00:00:00,14,10,4,1,1,0.7143,0.2857,0.0714,0.0714
Germany,Commercial,Commercial Analyst,Male,2025-06-01 00:00:00,10,7,5,2,1,0.7,0.5,0.2,0.1
France,Customer Support,Customer Support Rep,Male,2026-01-01 00:00:00,7,5,4,2,1,0.7143,0.5714,0.2857,0.1429
France,People,HR Business Partner,Male,2025-06-01 00:00:00,3,3,2,2,1,1.0,0.6667,0.6667,0.3333
Germany,People,HR Business Partner,Male,2025-05-01 00:00:00,6,4,3,1,1,0.6667,0.5,0.1667,0.1667
France,Commercial,Pricing Manager,Male,2025-08-01 00:00:00,5,4,2,0,0,0.8,0.4,0.0,0.0
France,Technology,Data Engineer,Male,2025-09-01 00:00:00,3,3,2,0,0,1.0,0.6667,0.0,0.0
France,Technology,Software Engineer,Male,2025-05-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,Technology,Data Engineer,Male,2025-10-01 00:00:00,4,3,3,1,0,0.75,0.75,0.25,0.0
Ireland,Operations,Project Manager,Male,2026-03-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Germany,Technology,Software Engineer,Male,2025-06-01 00:00:00,3,3,1,1,1,1.0,0.3333,0.3333,0.3333
Netherlands,Commercial,Commercial Analyst,Male,2026-02-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
France,Supply Chain,Logistics Coordinator,Female,2025-06-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Operations,Construction Supervisor,Male,2025-12-01 00:00:00,3,2,0,0,0,0.6667,0.0,0.0,0.0
UK,Customer Support,Customer Success Manager,Male,2026-03-01 00:00:00,28,18,13,5,4,0.6429,0.4643,0.1786,0.1429
UK,Commercial,Pricing Manager,Male,2026-03-01 00:00:00,19,13,9,3,3,0.6842,0.4737,0.1579,0.1579
Germany,People,HR Business Partner,Male,2026-01-01 00:00:00,8,5,4,3,2,0.625,0.5,0.375,0.25
France,Operations,Project Manager,Male,2025-09-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
France,Technology,Data Analyst,Female,2025-06-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
UK,Sales,Sales Executive,Male,2025-11-01 00:00:00,10,8,6,1,1,0.8,0.6,0.1,0.1
UK,Operations,Site Engineer,Male,2025-12-01 00:00:00,17,11,8,4,4,0.6471,0.4706,0.2353,0.2353
Ireland,Finance,Accountant,Male,2025-05-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
Netherlands,Operations,Project Manager,Male,2025-11-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Ireland,Finance,Accountant,Male,2026-01-01 00:00:00,3,3,3,3,1,1.0,1.0,1.0,0.3333
Netherlands,Finance,Accountant,Female,2026-01-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Commercial,Pricing Manager,Male,2025-05-01 00:00:00,4,2,1,1,1,0.5,0.25,0.25,0.25
Ireland,Customer Support,Customer Support Rep,Male,2025-11-01 00:00:00,4,3,0,0,0,0.75,0.0,0.0,0.0
Germany,Commercial,Commercial Analyst,Female,2025-12-01 00:00:00,3,3,3,2,1,1.0,1.0,0.6667,0.3333
France,People,HR Advisor,Male,2026-03-01 00:00:00,4,4,3,1,1,1.0,0.75,0.25,0.25
Ireland,Finance,Accountant,Male,2025-08-01 00:00:00,3,1,1,0,0,0.3333,0.3333,0.0,0.0
Netherlands,Finance,Financial Analyst,Male,2025-10-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
UK,Finance,Accountant,Female,2025-12-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
France,Supply Chain,Procurement Specialist,Male,2026-02-01 00:00:00,3,3,1,0,0,1.0,0.3333,0.0,0.0
Germany,People,HR Business Partner,Female,2025-05-01 00:00:00,3,1,0,0,0,0.3333,0.0,0.0,0.0
Germany,Technology,Data Engineer,Male,2025-09-01 00:00:00,7,6,4,3,1,0.8571,0.5714,0.4286,0.1429
France,Technology,Software Engineer,Male,2026-01-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
Germany,People,HR Business Partner,Male,2025-08-01 00:00:00,6,4,1,1,1,0.6667,0.1667,0.1667,0.1667
Germany,Operations,Site Engineer,Male,2025-09-01 00:00:00,5,3,1,0,0,0.6,0.2,0.0,0.0
France,Customer Support,Customer Support Rep,Male,2025-08-01 00:00:00,2,2,2,1,1,1.0,1.0,0.5,0.5
Netherlands,Customer Support,Customer Support Rep,Male,2025-11-01 00:00:00,3,2,0,0,0,0.6667,0.0,0.0,0.0
Germany,Technology,Software Engineer,Female,2025-06-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
France,Customer Support,Customer Success Manager,Male,2025-10-01 00:00:00,4,2,2,2,1,0.5,0.5,0.5,0.25
UK,Technology,Software Engineer,Female,2026-02-01 00:00:00,2,2,2,1,1,1.0,1.0,0.5,0.5
Netherlands,Sales,Account Manager,Male,2025-11-01 00:00:00,3,3,2,2,1,1.0,0.6667,0.6667,0.3333
UK,People,HR Advisor,Female,2025-10-01 00:00:00,3,3,3,1,1,1.0,1.0,0.3333,0.3333
Germany,People,HR Business Partner,Female,2025-08-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Commercial,Pricing Manager,Male,2026-01-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,People,HR Advisor,Female,2025-05-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,People,HR Business Partner,Female,2026-02-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
France,Commercial,Commercial Analyst,Female,2025-12-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
Netherlands,People,HR Business Partner,Male,2026-03-01 00:00:00,4,3,1,0,0,0.75,0.25,0.0,0.0
UK,Operations,Site Engineer,Female,2025-05-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,Technology,Data Analyst,Female,2025-11-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Finance,Accountant,Male,2025-10-01 00:00:00,2,1,1,1,1,0.5,0.5,0.5,0.5
Ireland,Sales,Account Manager,Female,2026-03-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Ireland,Operations,Site Engineer,Male,2025-05-01 00:00:00,2,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Sales,Sales Executive,Female,2025-12-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Ireland,Finance,Accountant,Female,2026-01-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,Supply Chain,Procurement Specialist,Female,2026-03-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Finance,Accountant,Female,2025-08-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,People,HR Business Partner,Female,2026-01-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Supply Chain,Warehouse Manager,Female,2026-03-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
Germany,Supply Chain,Logistics Coordinator,Female,2025-08-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
Ireland,Operations,Site Engineer,Male,2026-01-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Supply Chain,Logistics Coordinator,Female,2026-01-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Supply Chain,Logistics Coordinator,Male,2025-06-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Netherlands,Technology,Data Analyst,Male,2025-04-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Ireland,Operations,Site Engineer,Male,2025-08-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Customer Support,Customer Support Rep,Female,2025-11-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Technology,Software Engineer,Female,2025-09-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
Netherlands,Finance,Financial Analyst,Female,2025-06-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,Sales,Sales Executive,Male,2025-12-01 00:00:00,10,6,4,1,1,0.6,0.4,0.1,0.1
UK,Operations,Construction Supervisor,Male,2025-06-01 00:00:00,15,8,2,1,1,0.5333,0.1333,0.0667,0.0667
UK,Finance,Accountant,Male,2025-04-01 00:00:00,17,14,11,5,4,0.8235,0.6471,0.2941,0.2353
UK,Technology,Data Engineer,Male,2026-02-01 00:00:00,14,10,6,1,1,0.7143,0.4286,0.0714,0.0714
UK,Commercial,Commercial Analyst,Male,2026-03-01 00:00:00,19,15,6,2,1,0.7895,0.3158,0.1053,0.0526
Germany,Customer Support,Customer Support Rep,Male,2025-04-01 00:00:00,12,8,4,0,0,0.6667,0.3333,0.0,0.0
UK,Supply Chain,Procurement Specialist,Male,2025-04-01 00:00:00,21,14,9,4,3,0.6667,0.4286,0.1905,0.1429
UK,Supply Chain,Warehouse Manager,Male,2025-10-01 00:00:00,14,11,8,5,5,0.7857,0.5714,0.3571,0.3571
Netherlands,Customer Support,Customer Support Rep,Male,2025-12-01 00:00:00,6,5,2,0,0,0.8333,0.3333,0.0,0.0
