learning_record_id,employee_id,course_id,course_name,mandatory_flag,assignment_date,due_date,completion_date,completion_status,days_to_complete,overdue_flag,department,country
LRN0001009,EMP00466,C002,Health and Safety,1,2025-10-14,2025-12-01,2025-11-16,Completed,33.0,0,Supply Chain,UK
LRN0001010,EMP00466,C006,Advanced Analytics,0,2025-08-17,2025-11-16,2025-08-30,Completed,13.0,0,Supply Chain,UK
LRN0001011,EMP00467,C002,Health and Safety,1,2025-03-14,2025-04-14,2025-03-26,Completed,12.0,0,Sales,UK
LRN0001012,EMP00468,C003,Data Protection,1,2025-08-28,2025-09-28,2025-09-15,Completed,18.0,0,Customer Support,UK
LRN0001013,EMP00468,C004,Leadership Essentials,0,2025-02-12,2025-05-05,2025-03-02,Completed,18.0,0,Customer Support,UK
LRN0001014,EMP00469,C001,Code of Conduct,1,2025-01-20,2025-02-21,2025-01-21,Completed,1.0,0,Sales,Netherlands
LRN0001015,EMP00469,C005,Stakeholder Management,0,2026-02-28,2026-05-25,2026-03-26,Completed,26.0,0,Sales,Netherlands
LRN0001016,EMP00470,C002,Health and Safety,1,2025-02-11,2025-03-19,,Incomplete,,1,Operations,UK
LRN0001017,EMP00470,C004,Leadership Essentials,0,2025-05-19,2025-08-19,,Incomplete,,1,Operations,UK
LRN0001018,EMP00471,C004,Leadership Essentials,0,2025-04-22,2025-07-16,,Incomplete,,1,Supply Chain,Germany
LRN0001019,EMP00471,C006,Advanced Analytics,0,2025-04-06,2025-06-25,,Incomplete,,1,Supply Chain,Germany
LRN0001020,EMP00472,C003,Data Protection,1,2025-08-27,2025-10-02,2025-10-08,Completed,42.0,0,Operations,UK
LRN0001021,EMP00472,C005,Stakeholder Management,0,2025-09-13,2025-12-17,,Incomplete,,1,Operations,UK
LRN0001022,EMP00473,C002,Health and Safety,1,2025-10-21,2025-11-30,2025-11-27,Completed,37.0,0,Supply Chain,UK
LRN0001023,EMP00473,C004,Leadership Essentials,0,2025-09-18,2025-12-04,2025-10-31,Completed,43.0,0,Supply Chain,UK
LRN0001024,EMP00474,C003,Data Protection,1,2025-08-23,2025-09-28,2025-09-16,Completed,24.0,0,Operations,Ireland
LRN0001025,EMP00474,C004,Leadership Essentials,0,2026-03-22,2026-06-19,2026-03-31,Completed,9.0,0,Operations,Ireland
LRN0001026,EMP00475,C001,Code of Conduct,1,2025-01-26,2025-03-12,2025-02-14,Completed,19.0,0,Sales,UK
LRN0001027,EMP00475,C005,Stakeholder Management,0,2026-03-18,2026-06-06,2026-03-31,Completed,13.0,0,Sales,UK
LRN0001028,EMP00476,C003,Data Protection,1,2025-03-03,2025-04-09,2025-03-15,Completed,12.0,0,Finance,Germany
LRN0001029,EMP00477,C004,Leadership Essentials,0,2025-10-05,2025-12-23,,Incomplete,,1,Commercial,France
LRN0001030,EMP00478,C002,Health and Safety,1,2025-06-20,2025-08-04,2025-08-03,Completed,44.0,0,Operations,France
LRN0001031,EMP00478,C006,Advanced Analytics,0,2025-10-25,2026-01-16,2025-12-09,Completed,45.0,0,Operations,France
LRN0001032,EMP00479,C005,Stakeholder Management,0,2026-03-07,2026-05-29,,Incomplete,,0,Technology,Germany
LRN0001033,EMP00480,C001,Code of Conduct,1,2025-01-22,2025-03-12,2025-02-06,Completed,15.0,0,Finance,Germany
LRN0001034,EMP00481,C004,Leadership Essentials,0,2025-02-13,2025-05-10,,Incomplete,,1,Supply Chain,Germany
LRN0001035,EMP00481,C005,Stakeholder Management,0,2025-04-24,2025-07-20,,Incomplete,,1,Supply Chain,Germany
LRN0001036,EMP00482,C002,Health and Safety,1,2025-07-31,2025-08-28,,Incomplete,,1,Operations,UK
LRN0001037,EMP00483,C003,Data Protection,1,2025-04-10,2025-05-26,2025-04-16,Completed,6.0,0,People,France
LRN0001038,EMP00484,C001,Code of Conduct,1,2025-07-08,2025-08-19,2025-07-17,Completed,9.0,0,Commercial,UK
LRN0001039,EMP00484,C006,Advanced Analytics,0,2025-06-16,2025-09-15,2025-06-25,Completed,9.0,0,Commercial,UK
LRN0001040,EMP00485,C003,Data Protection,1,2025-02-10,2025-03-27,,Incomplete,,1,Supply Chain,UK
LRN0001041,EMP00485,C006,Advanced Analytics,0,2025-11-27,2026-02-05,,Incomplete,,1,Supply Chain,UK
LRN0001042,EMP00486,C001,Code of Conduct,1,2025-12-01,2025-12-29,2026-01-01,Completed,31.0,0,Operations,Netherlands
LRN0001043,EMP00486,C006,Advanced Analytics,0,2025-02-01,2025-05-02,,Incomplete,,1,Operations,Netherlands
LRN0001044,EMP00486,C005,Stakeholder Management,0,2025-04-30,2025-07-20,,Incomplete,,1,Operations,Netherlands
LRN0001045,EMP00486,C004,Leadership Essentials,0,2025-10-29,2026-01-24,2025-12-21,Completed,53.0,0,Operations,Netherlands
LRN0001046,EMP00487,C002,Health and Safety,1,2025-11-02,2025-12-19,,Incomplete,,1,Supply Chain,UK
LRN0001047,EMP00487,C006,Advanced Analytics,0,2025-03-02,2025-05-29,2025-03-22,Completed,20.0,0,Supply Chain,UK
LRN0001048,EMP00488,C001,Code of Conduct,1,2025-06-28,2025-07-27,2025-07-09,Completed,11.0,0,Supply Chain,UK
LRN0001049,EMP00489,C003,Data Protection,1,2025-01-08,2025-02-23,,Incomplete,,1,Sales,UK
LRN0001050,EMP00489,C006,Advanced Analytics,0,2025-10-28,2026-01-09,,Incomplete,,1,Sales,UK
LRN0001051,EMP00490,C001,Code of Conduct,1,2025-02-18,2025-04-07,,Incomplete,,1,Operations,Germany
LRN0001052,EMP00490,C004,Leadership Essentials,0,2025-08-05,2025-10-19,,Incomplete,,1,Operations,Germany
LRN0001053,EMP00491,C001,Code of Conduct,1,2025-12-09,2026-01-28,2026-01-05,Completed,27.0,0,Operations,Germany
LRN0001054,EMP00491,C006,Advanced Analytics,0,2025-01-02,2025-03-16,,Incomplete,,1,Operations,Germany
LRN0001055,EMP00492,C006,Advanced Analytics,0,2025-07-30,2025-10-19,2025-09-02,Completed,34.0,0,Sales,Netherlands
LRN0001056,EMP00493,C003,Data Protection,1,2025-09-03,2025-10-09,2025-09-28,Completed,25.0,0,Customer Support,UK
LRN0001057,EMP00493,C004,Leadership Essentials,0,2025-01-06,2025-04-09,2025-01-11,Completed,5.0,0,Customer Support,UK
LRN0001058,EMP00493,C006,Advanced Analytics,0,2025-05-23,2025-08-03,2025-06-08,Completed,16.0,0,Customer Support,UK
LRN0001059,EMP00493,C005,Stakeholder Management,0,2025-07-07,2025-09-30,,Incomplete,,1,Customer Support,UK
LRN0001060,EMP00494,C002,Health and Safety,1,2026-03-02,2026-04-09,2026-03-19,Completed,17.0,0,Sales,Netherlands
LRN0001061,EMP00494,C004,Leadership Essentials,0,2026-01-15,2026-04-13,2026-01-27,Completed,12.0,0,Sales,Netherlands
LRN0001062,EMP00495,C006,Advanced Analytics,0,2025-03-21,2025-06-02,2025-03-27,Completed,6.0,0,Sales,Germany
LRN0001063,EMP00496,C003,Data Protection,1,2025-12-01,2025-12-29,,Incomplete,,1,Customer Support,France
LRN0001064,EMP00496,C004,Leadership Essentials,0,2025-01-13,2025-04-12,,Incomplete,,1,Customer Support,France
LRN0001065,EMP00497,C006,Advanced Analytics,0,2025-01-24,2025-04-12,2025-02-10,Completed,17.0,0,Commercial,UK
LRN0001066,EMP00497,C005,Stakeholder Management,0,2025-08-14,2025-11-06,2025-09-05,Completed,22.0,0,Commercial,UK
LRN0001067,EMP00498,C004,Leadership Essentials,0,2025-03-15,2025-06-03,2025-04-06,Completed,22.0,0,Finance,Germany
LRN0001068,EMP00498,C006,Advanced Analytics,0,2025-04-29,2025-07-26,2025-05-02,Completed,3.0,0,Finance,Germany
LRN0001069,EMP00499,C001,Code of Conduct,1,2025-06-13,2025-07-19,2025-07-17,Completed,34.0,0,Operations,UK
LRN0001070,EMP00499,C006,Advanced Analytics,0,2025-05-29,2025-08-10,2025-06-12,Completed,14.0,0,Operations,UK
LRN0001071,EMP00500,C002,Health and Safety,1,2025-03-17,2025-04-24,2025-04-20,Completed,34.0,0,Supply Chain,Netherlands
LRN0001072,EMP00501,C003,Data Protection,1,2025-01-23,2025-02-21,2025-02-10,Completed,18.0,0,Sales,UK
LRN0001073,EMP00501,C006,Advanced Analytics,0,2025-01-26,2025-04-30,2025-02-08,Completed,13.0,0,Sales,UK
LRN0001074,EMP00502,C001,Code of Conduct,1,2026-02-10,2026-03-22,2026-03-03,Completed,21.0,0,Operations,UK
LRN0001075,EMP00502,C005,Stakeholder Management,0,2025-04-16,2025-06-29,,Incomplete,,1,Operations,UK
LRN0001076,EMP00502,C004,Leadership Essentials,0,2025-05-10,2025-08-01,,Incomplete,,1,Operations,UK
LRN0001077,EMP00503,C002,Health and Safety,1,2025-01-20,2025-02-17,,Incomplete,,1,Operations,UK
LRN0001078,EMP00503,C005,Stakeholder Management,0,2025-03-19,2025-05-30,,Incomplete,,1,Operations,UK
LRN0001079,EMP00503,C004,Leadership Essentials,0,2025-10-28,2026-01-30,,Incomplete,,1,Operations,UK
LRN0001080,EMP00504,C005,Stakeholder Management,0,2025-11-01,2026-01-23,2025-11-19,Completed,18.0,0,Commercial,UK
LRN0001081,EMP00504,C004,Leadership Essentials,0,2025-01-13,2025-03-30,2025-01-23,Completed,10.0,0,Commercial,UK
LRN0001082,EMP00505,C003,Data Protection,1,2026-01-13,2026-02-17,2026-02-15,Completed,33.0,0,Supply Chain,UK
LRN0001083,EMP00505,C006,Advanced Analytics,0,2026-01-12,2026-04-17,,Incomplete,,0,Supply Chain,UK
LRN0001084,EMP00505,C004,Leadership Essentials,0,2025-08-14,2025-10-24,,Incomplete,,1,Supply Chain,UK
LRN0001085,EMP00505,C005,Stakeholder Management,0,2025-11-30,2026-02-08,2025-12-30,Completed,30.0,0,Supply Chain,UK
LRN0001086,EMP00506,C002,Health and Safety,1,2025-08-24,2025-09-23,,Incomplete,,1,Operations,Ireland
LRN0001087,EMP00507,C003,Data Protection,1,2025-12-19,2026-02-07,,Incomplete,,1,Operations,UK
LRN0001088,EMP00507,C004,Leadership Essentials,0,2025-05-12,2025-07-31,,Incomplete,,1,Operations,UK
LRN0001089,EMP00507,C005,Stakeholder Management,0,2025-05-29,2025-08-08,2025-07-27,Completed,59.0,0,Operations,UK
LRN0001090,EMP00508,C002,Health and Safety,1,2025-12-03,2026-01-17,2025-12-16,Completed,13.0,0,Supply Chain,UK
LRN0001091,EMP00508,C005,Stakeholder Management,0,2026-01-15,2026-03-26,,Incomplete,,1,Supply Chain,UK
LRN0001092,EMP00508,C004,Leadership Essentials,0,2025-04-19,2025-07-13,,Incomplete,,1,Supply Chain,UK
LRN0001093,EMP00509,C001,Code of Conduct,1,2025-06-02,2025-06-29,2025-06-16,Completed,14.0,0,Supply Chain,UK
LRN0001094,EMP00510,C005,Stakeholder Management,0,2025-05-24,2025-08-03,,Incomplete,,1,Operations,UK
LRN0001095,EMP00510,C004,Leadership Essentials,0,2025-06-25,2025-09-13,,Incomplete,,1,Operations,UK
LRN0001096,EMP00511,C001,Code of Conduct,1,2025-01-27,2025-03-09,2025-02-09,Completed,13.0,0,Sales,France
LRN0001097,EMP00512,C006,Advanced Analytics,0,2025-12-07,2026-03-12,2025-12-31,Completed,24.0,0,Commercial,UK
LRN0001098,EMP00512,C005,Stakeholder Management,0,2025-09-30,2025-12-12,2025-10-19,Completed,19.0,0,Commercial,UK
LRN0001099,EMP00513,C003,Data Protection,1,2025-09-24,2025-11-03,,Incomplete,,1,Supply Chain,UK
LRN0001100,EMP00514,C001,Code of Conduct,1,2025-09-06,2025-10-16,2025-09-16,Completed,10.0,0,Sales,UK
LRN0001101,EMP00514,C004,Leadership Essentials,0,2025-10-11,2025-12-29,2025-11-07,Completed,27.0,0,Sales,UK
LRN0001102,EMP00515,C001,Code of Conduct,1,2026-01-24,2026-02-19,2026-02-25,Completed,32.0,0,Operations,UK
LRN0001103,EMP00515,C004,Leadership Essentials,0,2025-04-13,2025-07-10,,Incomplete,,1,Operations,UK
LRN0001104,EMP00516,C005,Stakeholder Management,0,2025-09-25,2025-12-07,,Incomplete,,1,Sales,Germany
LRN0001105,EMP00516,C004,Leadership Essentials,0,2025-02-22,2025-05-24,,Incomplete,,1,Sales,Germany
LRN0001106,EMP00516,C006,Advanced Analytics,0,2025-09-14,2025-11-26,,Incomplete,,1,Sales,Germany
LRN0001107,EMP00517,C002,Health and Safety,1,2026-03-07,2026-04-21,,Incomplete,,0,Operations,Germany
LRN0001108,EMP00517,C006,Advanced Analytics,0,2025-01-01,2025-03-12,,Incomplete,,1,Operations,Germany
LRN0001109,EMP00517,C004,Leadership Essentials,0,2025-09-11,2025-11-27,,Incomplete,,1,Operations,Germany
LRN0001110,EMP00518,C002,Health and Safety,1,2025-11-06,2025-12-23,2025-12-03,Completed,27.0,0,Operations,UK
LRN0001111,EMP00518,C004,Leadership Essentials,0,2025-01-22,2025-04-06,,Incomplete,,1,Operations,UK
LRN0001112,EMP00518,C006,Advanced Analytics,0,2026-01-11,2026-04-01,,Incomplete,,0,Operations,UK
LRN0001113,EMP00518,C005,Stakeholder Management,0,2025-08-23,2025-11-21,2025-10-21,Completed,59.0,0,Operations,UK
LRN0001114,EMP00519,C001,Code of Conduct,1,2025-08-02,2025-09-14,2025-08-21,Completed,19.0,0,Operations,Ireland
LRN0001115,EMP00519,C004,Leadership Essentials,0,2025-10-11,2026-01-02,2025-10-24,Completed,13.0,0,Operations,Ireland
LRN0001116,EMP00520,C006,Advanced Analytics,0,2025-12-02,2026-03-04,2026-01-03,Completed,32.0,0,Supply Chain,UK
LRN0001117,EMP00521,C002,Health and Safety,1,2025-03-29,2025-04-25,,Incomplete,,1,Operations,UK
LRN0001118,EMP00521,C004,Leadership Essentials,0,2025-03-21,2025-06-18,2025-04-30,Completed,40.0,0,Operations,UK
LRN0001119,EMP00522,C006,Advanced Analytics,0,2025-03-29,2025-06-07,2025-04-12,Completed,14.0,0,Sales,Netherlands
LRN0001120,EMP00522,C005,Stakeholder Management,0,2025-04-27,2025-07-18,2025-04-30,Completed,3.0,0,Sales,Netherlands
LRN0001121,EMP00523,C006,Advanced Analytics,0,2025-12-18,2026-03-08,2025-12-28,Completed,10.0,0,Sales,France
LRN0001122,EMP00523,C005,Stakeholder Management,0,2026-02-11,2026-05-15,2026-03-15,Completed,32.0,0,Sales,France
LRN0001123,EMP00524,C001,Code of Conduct,1,2026-01-07,2026-02-12,,Incomplete,,1,Customer Support,Germany
LRN0001124,EMP00525,C001,Code of Conduct,1,2026-01-12,2026-02-24,2026-02-08,Completed,27.0,0,Operations,Germany
LRN0001125,EMP00526,C002,Health and Safety,1,2025-03-01,2025-04-19,2025-03-24,Completed,23.0,0,Sales,UK
LRN0001126,EMP00526,C005,Stakeholder Management,0,2026-02-06,2026-05-01,2026-03-04,Completed,26.0,0,Sales,UK
LRN0001127,EMP00527,C002,Health and Safety,1,2025-11-14,2025-12-27,2025-12-11,Completed,27.0,0,Operations,UK
LRN0001128,EMP00527,C004,Leadership Essentials,0,2026-01-10,2026-04-11,2026-01-20,Completed,10.0,0,Operations,UK
LRN0001129,EMP00528,C001,Code of Conduct,1,2026-02-25,2026-04-08,2026-03-20,Completed,23.0,0,Supply Chain,UK
LRN0001130,EMP00528,C005,Stakeholder Management,0,2025-04-30,2025-07-12,,Incomplete,,1,Supply Chain,UK
LRN0001131,EMP00528,C004,Leadership Essentials,0,2025-04-18,2025-06-30,,Incomplete,,1,Supply Chain,UK
LRN0001132,EMP00529,C001,Code of Conduct,1,2025-03-23,2025-05-04,,Incomplete,,1,Operations,UK
LRN0001133,EMP00529,C006,Advanced Analytics,0,2025-10-24,2026-01-09,2025-11-09,Completed,16.0,0,Operations,UK
LRN0001134,EMP00530,C004,Leadership Essentials,0,2026-03-31,2026-06-28,,Incomplete,,0,Operations,UK
LRN0001135,EMP00530,C006,Advanced Analytics,0,2025-01-03,2025-03-30,,Incomplete,,1,Operations,UK
LRN0001136,EMP00531,C002,Health and Safety,1,2025-03-20,2025-05-04,2025-03-30,Completed,10.0,0,Technology,UK
LRN0001137,EMP00531,C004,Leadership Essentials,0,2025-01-24,2025-04-22,2025-02-08,Completed,15.0,0,Technology,UK
LRN0001138,EMP00531,C006,Advanced Analytics,0,2026-03-14,2026-05-29,2026-03-29,Completed,15.0,0,Technology,UK
LRN0001139,EMP00532,C006,Advanced Analytics,0,2026-01-04,2026-04-01,,Incomplete,,0,Operations,UK
LRN0001140,EMP00532,C005,Stakeholder Management,0,2025-09-14,2025-12-09,2025-10-10,Completed,26.0,0,Operations,UK
LRN0001141,EMP00533,C003,Data Protection,1,2025-09-14,2025-10-18,,Incomplete,,1,Supply Chain,UK
LRN0001142,EMP00534,C001,Code of Conduct,1,2025-10-15,2025-11-15,,Incomplete,,1,Sales,France
LRN0001143,EMP00534,C006,Advanced Analytics,0,2025-08-03,2025-10-30,,Incomplete,,1,Sales,France
LRN0001144,EMP00535,C004,Leadership Essentials,0,2025-06-20,2025-09-13,2025-07-02,Completed,12.0,0,People,Germany
LRN0001145,EMP00535,C005,Stakeholder Management,0,2025-01-20,2025-04-12,2025-02-08,Completed,19.0,0,People,Germany
LRN0001146,EMP00535,C006,Advanced Analytics,0,2025-03-06,2025-05-23,2025-03-17,Completed,11.0,0,People,Germany
LRN0001147,EMP00536,C002,Health and Safety,1,2025-03-29,2025-04-25,2025-05-16,Completed,48.0,0,Operations,France
LRN0001148,EMP00536,C006,Advanced Analytics,0,2025-09-22,2025-12-05,,Incomplete,,1,Operations,France
LRN0001149,EMP00536,C005,Stakeholder Management,0,2026-01-26,2026-04-18,,Incomplete,,0,Operations,France
LRN0001150,EMP00537,C002,Health and Safety,1,2025-10-06,2025-11-05,2025-10-20,Completed,14.0,0,Operations,UK
LRN0001151,EMP00537,C004,Leadership Essentials,0,2025-07-04,2025-09-16,,Incomplete,,1,Operations,UK
LRN0001152,EMP00537,C005,Stakeholder Management,0,2025-05-20,2025-08-04,,Incomplete,,1,Operations,UK
LRN0001153,EMP00538,C005,Stakeholder Management,0,2025-07-20,2025-10-18,2025-08-12,Completed,23.0,0,Sales,UK
LRN0001154,EMP00538,C004,Leadership Essentials,0,2026-03-09,2026-06-08,,Incomplete,,0,Sales,UK
LRN0001155,EMP00539,C006,Advanced Analytics,0,2026-03-12,2026-06-13,,Incomplete,,0,Finance,France
LRN0001156,EMP00539,C005,Stakeholder Management,0,2025-10-28,2026-01-18,2025-11-05,Completed,8.0,0,Finance,France
LRN0001157,EMP00539,C004,Leadership Essentials,0,2025-06-02,2025-08-29,,Incomplete,,1,Finance,France
LRN0001158,EMP00539,C002,Health and Safety,1,2025-08-07,2025-09-01,2025-08-19,Completed,12.0,0,Finance,France
LRN0001159,EMP00540,C001,Code of Conduct,1,2026-02-11,2026-03-31,2026-02-23,Completed,12.0,0,Operations,UK
LRN0001160,EMP00540,C004,Leadership Essentials,0,2025-06-11,2025-09-03,2025-07-12,Completed,31.0,0,Operations,UK
LRN0001161,EMP00540,C006,Advanced Analytics,0,2025-05-31,2025-08-10,,Incomplete,,1,Operations,UK
LRN0001162,EMP00541,C002,Health and Safety,1,2025-07-08,2025-08-14,2025-08-11,Completed,34.0,0,Operations,Germany
LRN0001163,EMP00542,C003,Data Protection,1,2025-03-06,2025-04-04,2025-04-16,Completed,41.0,0,Operations,UK
LRN0001164,EMP00542,C005,Stakeholder Management,0,2025-04-07,2025-06-18,2025-05-03,Completed,26.0,0,Operations,UK
LRN0001165,EMP00543,C004,Leadership Essentials,0,2025-06-29,2025-09-16,,Incomplete,,1,Supply Chain,France
LRN0001166,EMP00544,C004,Leadership Essentials,0,2025-12-16,2026-03-10,2025-12-22,Completed,6.0,0,Finance,UK
LRN0001167,EMP00545,C002,Health and Safety,1,2025-01-17,2025-02-15,2025-01-27,Completed,10.0,0,Operations,UK
LRN0001168,EMP00545,C006,Advanced Analytics,0,2025-03-17,2025-06-08,,Incomplete,,1,Operations,UK
LRN0001169,EMP00545,C004,Leadership Essentials,0,2025-03-28,2025-06-18,2025-04-10,Completed,13.0,0,Operations,UK
LRN0001170,EMP00546,C004,Leadership Essentials,0,2025-01-19,2025-04-13,,Incomplete,,1,Operations,France
LRN0001171,EMP00546,C005,Stakeholder Management,0,2025-05-22,2025-08-08,2025-07-08,Completed,47.0,0,Operations,France
LRN0001172,EMP00547,C002,Health and Safety,1,2025-07-18,2025-08-28,2025-08-26,Completed,39.0,0,Operations,Germany
LRN0001173,EMP00547,C004,Leadership Essentials,0,2025-04-06,2025-07-02,2025-04-24,Completed,18.0,0,Operations,Germany
LRN0001174,EMP00548,C003,Data Protection,1,2025-01-15,2025-02-22,,Incomplete,,1,Customer Support,UK
LRN0001175,EMP00549,C006,Advanced Analytics,0,2025-05-08,2025-08-10,2025-05-31,Completed,23.0,0,Technology,Netherlands
LRN0001176,EMP00549,C005,Stakeholder Management,0,2025-11-07,2026-01-21,2025-11-12,Completed,5.0,0,Technology,Netherlands
LRN0001177,EMP00550,C001,Code of Conduct,1,2025-01-24,2025-03-03,2025-02-04,Completed,11.0,0,Operations,UK
LRN0001178,EMP00550,C006,Advanced Analytics,0,2025-02-28,2025-05-25,,Incomplete,,1,Operations,UK
LRN0001179,EMP00551,C002,Health and Safety,1,2025-09-29,2025-11-09,2025-10-10,Completed,11.0,0,Operations,UK
LRN0001180,EMP00551,C006,Advanced Analytics,0,2025-09-30,2025-12-23,,Incomplete,,1,Operations,UK
LRN0001181,EMP00552,C002,Health and Safety,1,2026-01-26,2026-03-04,2026-02-11,Completed,16.0,0,Customer Support,UK
LRN0001182,EMP00552,C004,Leadership Essentials,0,2025-10-30,2026-01-26,,Incomplete,,1,Customer Support,UK
LRN0001183,EMP00553,C001,Code of Conduct,1,2025-02-14,2025-03-23,2025-04-09,Completed,54.0,0,Operations,Germany
LRN0001184,EMP00553,C006,Advanced Analytics,0,2025-01-20,2025-04-04,,Incomplete,,1,Operations,Germany
LRN0001185,EMP00554,C003,Data Protection,1,2025-04-14,2025-05-10,2025-06-03,Completed,50.0,0,Operations,Germany
LRN0001186,EMP00554,C006,Advanced Analytics,0,2025-08-31,2025-11-19,,Incomplete,,1,Operations,Germany
LRN0001187,EMP00554,C004,Leadership Essentials,0,2025-08-29,2025-11-20,,Incomplete,,1,Operations,Germany
LRN0001188,EMP00555,C002,Health and Safety,1,2025-08-24,2025-09-24,2025-09-02,Completed,9.0,0,Commercial,UK
LRN0001189,EMP00556,C001,Code of Conduct,1,2025-02-04,2025-03-19,2025-03-06,Completed,30.0,0,Operations,UK
LRN0001190,EMP00556,C004,Leadership Essentials,0,2025-10-03,2026-01-05,,Incomplete,,1,Operations,UK
LRN0001191,EMP00557,C003,Data Protection,1,2025-11-16,2026-01-02,2025-12-15,Completed,29.0,0,Supply Chain,Germany
LRN0001192,EMP00557,C004,Leadership Essentials,0,2025-10-26,2026-01-25,2025-11-12,Completed,17.0,0,Supply Chain,Germany
LRN0001193,EMP00557,C006,Advanced Analytics,0,2025-10-23,2026-01-26,,Incomplete,,1,Supply Chain,Germany
LRN0001194,EMP00557,C005,Stakeholder Management,0,2025-09-01,2025-11-18,,Incomplete,,1,Supply Chain,Germany
LRN0001195,EMP00558,C006,Advanced Analytics,0,2025-09-23,2025-12-06,2025-10-06,Completed,13.0,0,Commercial,UK
LRN0001196,EMP00559,C002,Health and Safety,1,2025-02-04,2025-03-19,2025-02-15,Completed,11.0,0,Operations,UK
LRN0001197,EMP00559,C006,Advanced Analytics,0,2025-09-26,2025-12-10,2025-10-13,Completed,17.0,0,Operations,UK
LRN0001198,EMP00559,C004,Leadership Essentials,0,2026-01-20,2026-03-31,2026-01-30,Completed,10.0,0,Operations,UK
LRN0001199,EMP00559,C005,Stakeholder Management,0,2025-04-13,2025-06-29,,Incomplete,,1,Operations,UK
LRN0001200,EMP00560,C001,Code of Conduct,1,2025-08-24,2025-10-10,,Incomplete,,1,Customer Support,France
LRN0001201,EMP00560,C006,Advanced Analytics,0,2025-07-09,2025-10-10,2025-08-19,Completed,41.0,0,Customer Support,France
LRN0001202,EMP00561,C003,Data Protection,1,2025-04-07,2025-05-03,2025-05-18,Completed,41.0,0,Operations,Ireland
LRN0001203,EMP00562,C006,Advanced Analytics,0,2025-12-04,2026-02-23,2025-12-22,Completed,18.0,0,People,Ireland
LRN0001204,EMP00563,C001,Code of Conduct,1,2025-10-15,2025-12-02,,Incomplete,,1,Operations,UK
LRN0001205,EMP00563,C005,Stakeholder Management,0,2025-01-31,2025-04-17,2025-02-21,Completed,21.0,0,Operations,UK
LRN0001206,EMP00563,C004,Leadership Essentials,0,2025-01-14,2025-04-12,2025-03-01,Completed,46.0,0,Operations,UK
LRN0001207,EMP00564,C001,Code of Conduct,1,2025-09-28,2025-11-07,2025-10-08,Completed,10.0,0,Supply Chain,UK
LRN0001208,EMP00565,C001,Code of Conduct,1,2025-09-04,2025-10-17,2025-10-01,Completed,27.0,0,Supply Chain,UK
LRN0001209,EMP00565,C005,Stakeholder Management,0,2025-11-06,2026-01-27,2025-12-15,Completed,39.0,0,Supply Chain,UK
LRN0001210,EMP00566,C002,Health and Safety,1,2025-09-28,2025-11-12,,Incomplete,,1,Supply Chain,France
LRN0001211,EMP00566,C006,Advanced Analytics,0,2026-02-22,2026-05-10,2026-03-31,Completed,37.0,0,Supply Chain,France
LRN0001212,EMP00567,C003,Data Protection,1,2025-09-10,2025-10-12,,Incomplete,,1,Operations,UK
LRN0001213,EMP00567,C004,Leadership Essentials,0,2025-01-29,2025-04-16,2025-02-26,Completed,28.0,0,Operations,UK
LRN0001214,EMP00568,C001,Code of Conduct,1,2025-08-07,2025-09-15,2025-09-24,Completed,48.0,0,Operations,UK
LRN0001215,EMP00569,C003,Data Protection,1,2025-07-02,2025-08-18,,Incomplete,,1,Operations,Germany
LRN0001216,EMP00569,C004,Leadership Essentials,0,2026-02-17,2026-05-14,,Incomplete,,0,Operations,Germany
LRN0001217,EMP00570,C005,Stakeholder Management,0,2025-03-01,2025-05-25,2025-05-01,Completed,61.0,0,Operations,Germany
LRN0001218,EMP00570,C004,Leadership Essentials,0,2026-03-08,2026-05-18,2026-03-31,Completed,23.0,0,Operations,Germany
LRN0001219,EMP00570,C006,Advanced Analytics,0,2025-09-21,2025-12-25,,Incomplete,,1,Operations,Germany
LRN0001220,EMP00570,C002,Health and Safety,1,2025-09-02,2025-09-27,,Incomplete,,1,Operations,Germany
LRN0001221,EMP00571,C002,Health and Safety,1,2025-10-10,2025-11-29,2025-10-21,Completed,11.0,0,Sales,Netherlands
LRN0001222,EMP00571,C004,Leadership Essentials,0,2025-07-23,2025-10-04,2025-07-25,Completed,2.0,0,Sales,Netherlands
LRN0001223,EMP00572,C002,Health and Safety,1,2025-05-16,2025-06-15,,Incomplete,,1,Sales,Germany
LRN0001224,EMP00573,C002,Health and Safety,1,2025-11-30,2025-12-26,2025-12-13,Completed,13.0,0,Operations,UK
LRN0001225,EMP00574,C002,Health and Safety,1,2026-02-24,2026-03-31,2026-03-03,Completed,7.0,0,Customer Support,Netherlands
LRN0001226,EMP00574,C006,Advanced Analytics,0,2025-12-15,2026-02-28,2026-01-18,Completed,34.0,0,Customer Support,Netherlands
LRN0001227,EMP00574,C004,Leadership Essentials,0,2025-04-02,2025-06-30,,Incomplete,,1,Customer Support,Netherlands
LRN0001228,EMP00574,C005,Stakeholder Management,0,2025-09-30,2025-12-29,,Incomplete,,1,Customer Support,Netherlands
LRN0001229,EMP00575,C001,Code of Conduct,1,2025-04-15,2025-05-31,2025-05-13,Completed,28.0,0,Operations,UK
LRN0001230,EMP00575,C006,Advanced Analytics,0,2025-10-20,2026-01-03,,Incomplete,,1,Operations,UK
LRN0001231,EMP00576,C002,Health and Safety,1,2026-03-24,2026-05-09,2026-03-31,Completed,7.0,0,Sales,Ireland
