survey_id,employee_id,survey_date,country,department,engagement_score,wellbeing_score,manager_support_score,career_growth_score,inclusion_score,intent_to_leave_flag
SRV0002012,EMP00671,2025-09-30,France,Supply Chain,44.2,44.4,56.7,51.5,53.5,0
SRV0002013,EMP00671,2026-03-31,France,Supply Chain,47.4,42.4,55.9,54.0,54.9,1
SRV0002014,EMP00672,2025-03-31,UK,Technology,80.0,77.0,75.8,74.5,67.1,0
SRV0002015,EMP00672,2025-09-30,UK,Technology,82.8,73.5,74.3,74.8,70.6,0
SRV0002016,EMP00672,2026-03-31,UK,Technology,71.6,76.7,71.0,80.0,66.4,0
SRV0002017,EMP00673,2025-03-31,UK,People,79.6,73.1,71.6,73.3,67.4,0
SRV0002018,EMP00673,2025-09-30,UK,People,84.1,73.1,73.1,72.9,70.5,0
SRV0002019,EMP00673,2026-03-31,UK,People,82.0,79.2,69.2,80.2,75.0,0
SRV0002020,EMP00674,2025-03-31,Germany,Supply Chain,47.0,45.8,54.9,41.0,56.2,1
SRV0002021,EMP00674,2025-09-30,Germany,Supply Chain,41.6,47.2,48.0,46.9,63.0,1
SRV0002022,EMP00674,2026-03-31,Germany,Supply Chain,42.0,44.0,42.1,45.7,50.4,0
SRV0002023,EMP00675,2025-03-31,UK,People,91.5,84.7,78.7,85.2,71.5,0
SRV0002024,EMP00675,2025-09-30,UK,People,89.1,86.9,84.8,83.2,80.3,0
SRV0002025,EMP00675,2026-03-31,UK,People,99.1,76.3,86.9,77.9,73.7,0
SRV0002026,EMP00676,2025-03-31,UK,Operations,50.4,44.7,60.1,60.5,67.6,0
SRV0002027,EMP00676,2025-09-30,UK,Operations,59.6,46.9,51.7,49.8,64.7,0
SRV0002028,EMP00676,2026-03-31,UK,Operations,51.9,52.8,52.7,53.0,59.9,0
SRV0002029,EMP00677,2025-03-31,UK,Finance,95.6,81.9,73.2,79.2,79.1,0
SRV0002030,EMP00677,2025-09-30,UK,Finance,81.4,88.6,69.9,69.2,76.9,0
SRV0002031,EMP00677,2026-03-31,UK,Finance,91.7,75.8,75.8,78.1,76.4,0
SRV0002032,EMP00678,2025-03-31,UK,Customer Support,43.4,46.3,59.0,58.6,55.9,1
SRV0002033,EMP00678,2025-09-30,UK,Customer Support,43.1,45.3,56.8,56.1,58.8,0
SRV0002034,EMP00678,2026-03-31,UK,Customer Support,43.6,45.6,58.9,57.5,64.7,1
SRV0002035,EMP00679,2025-03-31,France,Supply Chain,45.2,38.5,59.4,43.6,64.0,0
SRV0002036,EMP00679,2025-09-30,France,Supply Chain,46.5,37.5,53.6,38.0,54.4,0
SRV0002037,EMP00679,2026-03-31,France,Supply Chain,34.5,37.8,49.5,47.4,56.6,1
SRV0002038,EMP00680,2025-03-31,Netherlands,Customer Support,48.7,52.0,62.3,46.2,66.0,0
SRV0002039,EMP00680,2025-09-30,Netherlands,Customer Support,41.9,48.5,58.2,51.5,63.2,1
SRV0002040,EMP00680,2026-03-31,Netherlands,Customer Support,47.8,43.1,57.0,49.3,65.8,0
SRV0002041,EMP00681,2025-03-31,UK,Customer Support,59.9,42.3,58.1,55.2,65.4,0
SRV0002042,EMP00681,2025-09-30,UK,Customer Support,56.4,55.7,63.9,42.9,68.5,0
SRV0002043,EMP00681,2026-03-31,UK,Customer Support,51.1,47.1,67.5,55.8,62.3,0
SRV0002044,EMP00682,2025-03-31,Ireland,Technology,69.3,67.2,63.2,69.3,66.5,0
SRV0002045,EMP00682,2025-09-30,Ireland,Technology,70.9,63.2,74.4,68.4,70.0,0
SRV0002046,EMP00682,2026-03-31,Ireland,Technology,81.0,63.0,75.6,82.3,64.3,0
SRV0002047,EMP00683,2025-03-31,Ireland,Customer Support,64.6,48.8,53.3,56.2,66.9,1
SRV0002048,EMP00683,2025-09-30,Ireland,Customer Support,64.2,66.7,57.8,57.5,65.0,0
SRV0002049,EMP00683,2026-03-31,Ireland,Customer Support,64.4,53.7,60.5,56.9,66.4,0
SRV0002050,EMP00684,2025-03-31,UK,People,90.4,74.2,79.9,86.5,71.4,0
SRV0002051,EMP00684,2025-09-30,UK,People,87.5,82.6,81.1,85.9,81.8,0
SRV0002052,EMP00684,2026-03-31,UK,People,94.7,85.1,74.5,77.5,76.0,0
SRV0002053,EMP00685,2025-03-31,UK,Sales,67.7,52.6,68.5,65.7,64.6,1
SRV0002054,EMP00685,2025-09-30,UK,Sales,66.8,60.1,62.5,70.1,69.1,0
SRV0002055,EMP00685,2026-03-31,UK,Sales,71.5,61.3,69.7,70.7,65.8,0
SRV0002056,EMP00686,2025-03-31,France,Supply Chain,57.8,50.8,58.8,51.5,53.5,1
SRV0002057,EMP00686,2025-09-30,France,Supply Chain,63.9,56.2,63.6,64.4,60.3,1
SRV0002058,EMP00686,2026-03-31,France,Supply Chain,60.7,47.7,60.9,53.4,54.6,1
SRV0002059,EMP00687,2025-03-31,Ireland,Sales,64.4,55.2,66.9,66.5,58.2,0
SRV0002060,EMP00687,2025-09-30,Ireland,Sales,72.1,66.4,61.2,61.1,58.6,0
SRV0002061,EMP00687,2026-03-31,Ireland,Sales,66.5,67.6,63.4,67.2,62.8,0
SRV0002062,EMP00688,2025-03-31,UK,Customer Support,59.2,50.9,66.5,61.3,60.3,1
SRV0002063,EMP00688,2025-09-30,UK,Customer Support,70.6,58.3,68.8,62.2,63.9,0
SRV0002064,EMP00688,2026-03-31,UK,Customer Support,65.4,65.5,57.0,55.5,71.0,0
SRV0002065,EMP00689,2025-03-31,France,Customer Support,48.8,39.6,54.4,47.3,61.2,1
SRV0002066,EMP00689,2025-09-30,France,Customer Support,47.4,49.0,57.7,56.3,55.3,1
SRV0002067,EMP00689,2026-03-31,France,Customer Support,42.4,42.2,49.3,52.8,62.6,1
SRV0002068,EMP00690,2025-03-31,UK,Customer Support,59.3,52.4,56.7,66.7,60.2,0
SRV0002069,EMP00690,2025-09-30,UK,Customer Support,64.1,53.9,63.7,60.4,54.4,0
SRV0002070,EMP00690,2026-03-31,UK,Customer Support,70.7,54.1,60.2,58.8,57.8,0
SRV0002071,EMP00691,2025-03-31,UK,Operations,73.7,48.2,55.0,56.4,63.1,0
SRV0002072,EMP00691,2025-09-30,UK,Operations,59.6,48.0,59.8,51.6,62.6,1
SRV0002073,EMP00691,2026-03-31,UK,Operations,63.3,58.2,55.2,61.6,63.2,0
SRV0002074,EMP00692,2025-03-31,UK,Commercial,60.4,54.1,65.4,57.7,67.1,0
SRV0002075,EMP00692,2025-09-30,UK,Commercial,69.0,55.4,65.5,57.6,69.2,0
SRV0002076,EMP00692,2026-03-31,UK,Commercial,56.3,62.1,69.6,53.7,61.9,0
SRV0002077,EMP00693,2025-03-31,UK,Operations,58.1,52.8,52.9,61.2,53.5,1
SRV0002078,EMP00693,2025-09-30,UK,Operations,56.7,43.1,48.8,49.6,56.4,0
SRV0002079,EMP00693,2026-03-31,UK,Operations,47.5,48.6,47.4,57.9,59.0,0
SRV0002080,EMP00694,2025-03-31,UK,Supply Chain,63.4,46.7,59.6,59.5,57.1,0
SRV0002081,EMP00694,2025-09-30,UK,Supply Chain,61.1,53.3,53.4,46.4,60.6,0
SRV0002082,EMP00694,2026-03-31,UK,Supply Chain,58.5,45.9,55.9,47.4,60.4,0
SRV0002083,EMP00695,2025-03-31,Germany,Supply Chain,37.0,36.1,44.2,39.1,56.1,0
SRV0002084,EMP00695,2025-09-30,Germany,Supply Chain,37.3,30.7,40.3,42.5,47.5,1
SRV0002085,EMP00695,2026-03-31,Germany,Supply Chain,20.3,27.5,43.6,42.8,52.8,1
SRV0002086,EMP00696,2025-03-31,Ireland,Operations,62.4,53.4,61.4,46.8,64.4,0
SRV0002087,EMP00696,2025-09-30,Ireland,Operations,59.9,48.3,60.4,50.3,51.7,0
SRV0002088,EMP00696,2026-03-31,Ireland,Operations,47.7,46.0,54.4,51.3,59.7,1
SRV0002089,EMP00697,2025-03-31,UK,Finance,91.0,83.5,74.2,74.6,70.8,0
SRV0002090,EMP00697,2025-09-30,UK,Finance,91.4,84.9,73.7,73.2,74.6,0
SRV0002091,EMP00697,2026-03-31,UK,Finance,96.8,83.3,71.7,80.5,73.5,0
SRV0002092,EMP00698,2025-03-31,Netherlands,Supply Chain,68.4,66.4,62.1,63.0,72.1,0
SRV0002093,EMP00698,2025-09-30,Netherlands,Supply Chain,61.9,64.4,69.4,52.4,72.4,0
SRV0002094,EMP00698,2026-03-31,Netherlands,Supply Chain,58.2,46.3,59.0,56.8,66.0,0
SRV0002095,EMP00699,2025-03-31,Germany,Supply Chain,33.4,21.8,46.6,44.3,54.0,1
SRV0002096,EMP00699,2025-09-30,Germany,Supply Chain,23.9,25.0,49.1,34.1,53.4,1
SRV0002097,EMP00699,2026-03-31,Germany,Supply Chain,22.9,25.7,44.9,39.7,56.9,0
SRV0002098,EMP00700,2025-03-31,Ireland,Sales,49.3,53.1,62.4,50.5,63.0,1
SRV0002099,EMP00700,2025-09-30,Ireland,Sales,50.6,53.9,59.3,55.2,67.2,1
SRV0002100,EMP00700,2026-03-31,Ireland,Sales,43.7,42.1,62.3,51.1,57.4,1
SRV0002101,EMP00701,2025-03-31,Netherlands,People,94.2,74.9,79.6,69.3,83.5,1
SRV0002102,EMP00701,2025-09-30,Netherlands,People,87.7,85.2,83.9,78.1,81.6,0
SRV0002103,EMP00701,2026-03-31,Netherlands,People,82.5,82.2,79.7,74.3,85.9,0
SRV0002104,EMP00702,2025-03-31,UK,Customer Support,57.0,54.5,58.4,57.2,60.5,0
SRV0002105,EMP00702,2025-09-30,UK,Customer Support,64.7,62.2,64.8,59.0,60.3,0
SRV0002106,EMP00702,2026-03-31,UK,Customer Support,55.4,46.0,66.5,46.9,69.4,0
SRV0002107,EMP00703,2025-03-31,UK,Sales,63.7,58.8,66.7,72.0,63.0,0
SRV0002108,EMP00703,2025-09-30,UK,Sales,58.8,66.6,65.4,59.5,61.0,0
SRV0002109,EMP00703,2026-03-31,UK,Sales,60.6,50.6,54.2,69.0,65.7,0
SRV0002110,EMP00704,2025-03-31,UK,Supply Chain,77.9,56.3,60.3,55.6,68.6,0
SRV0002111,EMP00704,2025-09-30,UK,Supply Chain,60.4,50.6,63.9,66.5,66.7,0
SRV0002112,EMP00704,2026-03-31,UK,Supply Chain,65.6,59.7,59.9,68.2,62.7,0
SRV0002113,EMP00705,2025-03-31,UK,Customer Support,72.0,68.0,71.1,60.3,71.5,0
SRV0002114,EMP00705,2025-09-30,UK,Customer Support,71.8,56.5,65.7,58.1,67.9,0
SRV0002115,EMP00705,2026-03-31,UK,Customer Support,73.7,68.7,69.6,62.1,63.1,0
SRV0002116,EMP00706,2025-03-31,Netherlands,Operations,61.4,48.7,50.4,61.3,52.7,0
SRV0002117,EMP00706,2025-09-30,Netherlands,Operations,63.1,48.8,55.6,56.1,62.0,0
SRV0002118,EMP00706,2026-03-31,Netherlands,Operations,66.8,48.5,48.2,58.0,54.8,0
SRV0002119,EMP00707,2025-03-31,Netherlands,Commercial,90.9,74.8,70.0,71.1,67.6,0
SRV0002120,EMP00707,2025-09-30,Netherlands,Commercial,84.6,68.1,70.8,67.5,71.8,0
SRV0002121,EMP00707,2026-03-31,Netherlands,Commercial,83.4,76.0,77.2,75.9,75.5,0
SRV0002122,EMP00708,2025-03-31,Ireland,Technology,75.1,61.5,64.1,74.9,69.8,0
SRV0002123,EMP00708,2025-09-30,Ireland,Technology,72.8,64.1,72.4,77.0,65.3,0
SRV0002124,EMP00708,2026-03-31,Ireland,Technology,78.9,68.1,69.2,67.8,67.7,1
SRV0002125,EMP00709,2025-03-31,Germany,Sales,60.2,54.7,62.0,67.9,60.3,1
SRV0002126,EMP00709,2025-09-30,Germany,Sales,67.5,58.7,58.0,65.9,57.9,0
SRV0002127,EMP00709,2026-03-31,Germany,Sales,71.3,59.4,56.6,63.7,64.5,1
SRV0002128,EMP00710,2025-03-31,Germany,Operations,36.6,28.3,46.7,40.7,60.4,0
SRV0002129,EMP00710,2025-09-30,Germany,Operations,35.6,37.1,50.0,36.7,61.7,1
SRV0002130,EMP00710,2026-03-31,Germany,Operations,34.5,27.6,53.6,38.8,58.7,0
SRV0002131,EMP00711,2025-03-31,France,Operations,47.4,43.8,57.2,51.0,58.1,0
SRV0002132,EMP00711,2025-09-30,France,Operations,54.1,34.7,48.8,47.9,45.2,1
SRV0002133,EMP00711,2026-03-31,France,Operations,40.8,31.5,40.9,53.4,55.0,0
SRV0002134,EMP00712,2025-03-31,UK,Operations,60.3,62.9,61.6,58.6,61.4,0
SRV0002135,EMP00712,2025-09-30,UK,Operations,63.9,47.5,57.2,53.2,63.7,1
SRV0002136,EMP00712,2026-03-31,UK,Operations,60.3,56.3,54.8,50.3,54.2,1
SRV0002137,EMP00713,2025-03-31,Germany,Commercial,43.8,41.5,52.2,46.1,57.1,1
SRV0002138,EMP00713,2025-09-30,Germany,Commercial,44.4,46.4,52.1,46.9,60.4,0
SRV0002139,EMP00713,2026-03-31,Germany,Commercial,34.6,38.0,52.5,53.5,54.8,1
SRV0002140,EMP00714,2025-03-31,Ireland,Operations,36.4,44.4,58.5,34.3,59.2,0
SRV0002141,EMP00714,2025-09-30,Ireland,Operations,30.6,37.4,53.3,38.6,63.9,1
SRV0002142,EMP00714,2026-03-31,Ireland,Operations,30.3,33.6,56.6,30.3,54.9,1
SRV0002143,EMP00715,2025-03-31,France,Supply Chain,49.0,49.5,56.0,44.9,58.9,1
SRV0002144,EMP00715,2025-09-30,France,Supply Chain,45.9,41.5,56.8,38.6,63.4,1
SRV0002145,EMP00715,2026-03-31,France,Supply Chain,46.3,42.1,55.8,47.1,58.5,1
SRV0002146,EMP00716,2025-03-31,UK,Finance,94.0,73.7,79.1,75.5,72.8,0
SRV0002147,EMP00716,2025-09-30,UK,Finance,87.5,84.7,78.3,72.1,72.3,1
SRV0002148,EMP00716,2026-03-31,UK,Finance,83.3,87.8,80.4,71.6,69.2,1
SRV0002149,EMP00717,2025-03-31,UK,Supply Chain,53.2,54.3,57.4,44.5,57.8,0
SRV0002150,EMP00717,2025-09-30,UK,Supply Chain,45.1,47.2,64.1,44.5,66.3,0
SRV0002151,EMP00717,2026-03-31,UK,Supply Chain,51.0,36.3,62.3,48.2,68.3,0
SRV0002152,EMP00718,2025-03-31,Germany,Supply Chain,43.8,48.6,46.2,52.1,50.0,1
SRV0002153,EMP00718,2025-09-30,Germany,Supply Chain,52.3,33.8,57.9,47.0,54.9,0
SRV0002154,EMP00718,2026-03-31,Germany,Supply Chain,49.4,47.0,42.4,48.9,55.9,1
SRV0002155,EMP00719,2025-03-31,Netherlands,Operations,63.3,42.0,61.0,53.1,54.9,0
SRV0002156,EMP00719,2025-09-30,Netherlands,Operations,50.2,48.1,51.5,57.6,55.1,0
SRV0002157,EMP00719,2026-03-31,Netherlands,Operations,45.9,39.6,51.6,59.5,54.1,1
SRV0002158,EMP00720,2025-03-31,Germany,Operations,31.0,28.9,44.1,38.8,51.9,0
SRV0002159,EMP00720,2025-09-30,Germany,Operations,27.5,25.7,43.4,35.1,52.3,1
SRV0002160,EMP00720,2026-03-31,Germany,Operations,19.0,26.9,40.4,34.8,45.8,1
SRV0002161,EMP00721,2025-03-31,France,Commercial,50.9,40.3,63.8,57.9,53.3,0
SRV0002162,EMP00721,2025-09-30,France,Commercial,56.6,50.1,55.4,54.4,64.8,0
SRV0002163,EMP00721,2026-03-31,France,Commercial,51.4,53.9,52.6,51.5,64.9,0
SRV0002164,EMP00722,2025-03-31,UK,Operations,62.3,49.3,63.5,55.6,56.1,0
SRV0002165,EMP00722,2025-09-30,UK,Operations,64.4,56.2,53.6,52.8,65.1,0
SRV0002166,EMP00722,2026-03-31,UK,Operations,64.5,59.8,61.8,59.6,63.6,0
SRV0002167,EMP00723,2025-03-31,UK,Operations,70.8,55.3,61.4,59.6,67.6,0
SRV0002168,EMP00723,2025-09-30,UK,Operations,57.6,52.0,61.9,56.2,56.9,1
SRV0002169,EMP00723,2026-03-31,UK,Operations,56.3,59.5,61.0,62.0,55.3,1
SRV0002170,EMP00724,2025-03-31,Netherlands,Commercial,49.2,60.4,73.8,61.3,67.0,0
SRV0002171,EMP00724,2025-09-30,Netherlands,Commercial,52.2,54.0,70.8,56.3,61.0,0
SRV0002172,EMP00724,2026-03-31,Netherlands,Commercial,59.5,51.2,68.4,51.7,68.1,1
SRV0002173,EMP00725,2025-03-31,France,Operations,46.2,40.8,44.5,55.3,50.8,1
SRV0002174,EMP00725,2025-09-30,France,Operations,43.8,39.6,47.8,45.2,47.1,0
SRV0002175,EMP00725,2026-03-31,France,Operations,43.4,34.7,41.2,48.8,54.2,1
SRV0002176,EMP00726,2025-03-31,UK,Customer Support,47.9,43.6,59.3,50.7,52.4,0
SRV0002177,EMP00726,2025-09-30,UK,Customer Support,52.3,53.7,65.0,52.9,52.2,0
SRV0002178,EMP00726,2026-03-31,UK,Customer Support,57.9,39.1,58.7,48.2,52.9,0
SRV0002179,EMP00727,2025-03-31,France,Operations,62.7,58.9,62.0,56.2,63.8,0
SRV0002180,EMP00727,2025-09-30,France,Operations,61.2,43.9,53.7,61.6,56.5,0
SRV0002181,EMP00727,2026-03-31,France,Operations,54.0,50.8,58.5,60.9,62.6,1
SRV0002182,EMP00728,2025-03-31,Germany,Supply Chain,32.1,41.3,55.9,36.5,53.8,1
SRV0002183,EMP00728,2025-09-30,Germany,Supply Chain,36.8,43.2,51.5,47.0,59.4,1
SRV0002184,EMP00728,2026-03-31,Germany,Supply Chain,41.3,38.4,49.4,34.4,51.0,1
SRV0002185,EMP00729,2025-03-31,UK,People,85.8,80.4,70.6,74.1,76.7,0
SRV0002186,EMP00729,2025-09-30,UK,People,85.1,71.5,71.7,86.4,69.8,0
SRV0002187,EMP00729,2026-03-31,UK,People,86.0,83.8,77.4,81.0,70.8,0
SRV0002188,EMP00730,2025-03-31,Germany,Supply Chain,33.8,41.2,47.8,42.9,50.2,1
SRV0002189,EMP00730,2025-09-30,Germany,Supply Chain,42.6,27.5,44.9,43.6,50.7,1
SRV0002190,EMP00730,2026-03-31,Germany,Supply Chain,34.8,36.9,49.8,34.8,63.9,1
SRV0002191,EMP00731,2025-03-31,UK,Operations,52.1,53.4,60.6,46.4,63.9,0
SRV0002192,EMP00731,2025-09-30,UK,Operations,49.9,44.0,58.2,53.2,55.8,1
SRV0002193,EMP00731,2026-03-31,UK,Operations,43.5,54.1,53.9,46.1,60.1,1
SRV0002194,EMP00732,2025-03-31,UK,Supply Chain,62.9,52.4,63.1,55.5,64.3,1
SRV0002195,EMP00732,2025-09-30,UK,Supply Chain,71.6,61.7,63.7,67.0,57.4,0
SRV0002196,EMP00732,2026-03-31,UK,Supply Chain,66.8,61.4,63.6,55.3,64.9,0
SRV0002197,EMP00733,2025-03-31,UK,Supply Chain,55.6,49.9,69.4,45.2,69.6,1
SRV0002198,EMP00733,2025-09-30,UK,Supply Chain,55.8,41.0,66.7,55.6,59.3,0
SRV0002199,EMP00733,2026-03-31,UK,Supply Chain,60.0,37.0,65.0,56.3,62.5,0
SRV0002200,EMP00734,2025-03-31,UK,Operations,59.3,56.3,57.3,56.0,65.3,1
SRV0002201,EMP00734,2025-09-30,UK,Operations,63.0,56.7,56.7,53.7,59.0,0
SRV0002202,EMP00734,2026-03-31,UK,Operations,66.1,49.6,52.3,50.9,61.0,0
SRV0002203,EMP00735,2025-03-31,UK,Supply Chain,64.6,47.2,60.1,53.0,63.0,0
SRV0002204,EMP00735,2025-09-30,UK,Supply Chain,56.9,56.9,58.1,61.4,57.0,0
SRV0002205,EMP00735,2026-03-31,UK,Supply Chain,59.6,43.2,54.0,57.5,65.5,0
SRV0002206,EMP00736,2025-03-31,Netherlands,Technology,86.0,82.0,71.3,73.6,78.9,0
SRV0002207,EMP00736,2025-09-30,Netherlands,Technology,82.7,79.4,82.8,71.7,77.0,0
SRV0002208,EMP00736,2026-03-31,Netherlands,Technology,89.5,80.2,78.3,84.7,75.2,0
SRV0002209,EMP00737,2025-03-31,UK,Technology,85.6,68.0,72.2,78.9,62.2,0
SRV0002210,EMP00737,2025-09-30,UK,Technology,84.4,73.5,79.5,79.5,71.7,0
SRV0002211,EMP00737,2026-03-31,UK,Technology,90.3,72.9,69.3,71.7,71.8,0
SRV0002212,EMP00738,2025-03-31,Ireland,Technology,57.8,43.7,57.0,62.7,55.4,0
SRV0002213,EMP00738,2025-09-30,Ireland,Technology,59.1,56.1,69.5,65.7,54.6,0
SRV0002214,EMP00738,2026-03-31,Ireland,Technology,58.1,47.7,66.6,55.3,59.5,0
SRV0002215,EMP00739,2025-03-31,Netherlands,Operations,73.6,54.8,59.7,62.0,64.0,0
SRV0002216,EMP00739,2025-09-30,Netherlands,Operations,68.6,59.6,60.5,58.9,65.0,0
SRV0002217,EMP00739,2026-03-31,Netherlands,Operations,63.8,57.8,63.9,60.0,64.2,0
SRV0002218,EMP00740,2025-03-31,France,Operations,38.8,34.2,60.7,47.8,57.4,1
SRV0002219,EMP00740,2025-09-30,France,Operations,46.6,31.7,57.7,37.5,63.5,1
SRV0002220,EMP00740,2026-03-31,France,Operations,36.1,34.4,54.1,37.1,56.3,1
SRV0002221,EMP00741,2025-03-31,UK,Sales,72.0,59.6,65.1,71.0,72.5,0
SRV0002222,EMP00741,2025-09-30,UK,Sales,81.6,72.1,65.1,64.8,68.3,0
SRV0002223,EMP00741,2026-03-31,UK,Sales,71.2,70.9,66.5,77.0,59.3,0
SRV0002224,EMP00742,2025-03-31,UK,Supply Chain,47.1,51.5,52.2,54.2,56.5,0
SRV0002225,EMP00742,2025-09-30,UK,Supply Chain,58.8,43.6,52.8,51.4,51.7,1
SRV0002226,EMP00742,2026-03-31,UK,Supply Chain,53.4,51.2,56.0,57.1,51.8,0
SRV0002227,EMP00743,2025-03-31,Netherlands,Sales,58.7,57.5,56.9,58.2,67.1,0
SRV0002228,EMP00743,2025-09-30,Netherlands,Sales,50.0,53.2,60.8,61.3,70.0,0
SRV0002229,EMP00743,2026-03-31,Netherlands,Sales,57.2,45.7,58.9,61.4,66.2,1
SRV0002230,EMP00744,2025-03-31,UK,Operations,38.8,38.7,48.4,37.7,50.8,1
SRV0002231,EMP00744,2025-09-30,UK,Operations,42.7,44.0,52.3,41.2,60.4,0
SRV0002232,EMP00744,2026-03-31,UK,Operations,29.9,34.0,42.9,52.0,56.7,0
SRV0002233,EMP00745,2025-03-31,UK,Operations,41.0,49.7,56.2,45.3,62.1,0
SRV0002234,EMP00745,2025-09-30,UK,Operations,49.6,40.4,54.1,41.9,65.5,1
SRV0002235,EMP00745,2026-03-31,UK,Operations,41.5,43.8,59.5,39.0,58.6,1
SRV0002236,EMP00746,2025-03-31,UK,Sales,65.0,59.1,63.2,56.5,72.7,1
SRV0002237,EMP00746,2025-09-30,UK,Sales,61.8,68.5,69.0,56.7,72.2,0
SRV0002238,EMP00746,2026-03-31,UK,Sales,64.5,67.4,68.5,69.2,66.4,0
SRV0002239,EMP00747,2025-03-31,Ireland,Operations,38.8,44.0,63.3,38.2,65.0,1
SRV0002240,EMP00747,2025-09-30,Ireland,Operations,36.8,40.6,59.8,43.3,64.5,1
SRV0002241,EMP00747,2026-03-31,Ireland,Operations,31.7,32.2,51.2,42.5,51.5,1
SRV0002242,EMP00748,2025-03-31,UK,Customer Support,51.2,48.8,67.4,44.0,60.6,1
SRV0002243,EMP00748,2025-09-30,UK,Customer Support,59.3,61.5,60.9,48.6,71.3,0
SRV0002244,EMP00748,2026-03-31,UK,Customer Support,51.2,46.3,60.4,50.7,63.7,1
SRV0002245,EMP00749,2025-03-31,Germany,Technology,63.9,55.7,61.7,65.2,61.6,0
SRV0002246,EMP00749,2025-09-30,Germany,Technology,65.9,49.8,65.1,56.0,64.9,0
SRV0002247,EMP00749,2026-03-31,Germany,Technology,64.2,53.6,59.8,62.8,69.6,1
SRV0002248,EMP00750,2025-03-31,Germany,Customer Support,62.1,54.6,49.1,60.7,54.6,1
SRV0002249,EMP00750,2025-09-30,Germany,Customer Support,53.1,40.8,53.7,48.4,53.4,0
SRV0002250,EMP00750,2026-03-31,Germany,Customer Support,59.0,47.1,58.1,58.0,60.2,0
SRV0002251,EMP00751,2025-03-31,UK,Operations,68.1,54.0,63.5,55.2,59.2,0
SRV0002252,EMP00751,2025-09-30,UK,Operations,54.3,59.2,61.0,53.8,62.2,1
SRV0002253,EMP00751,2026-03-31,UK,Operations,64.9,56.3,53.8,58.5,56.8,1
SRV0002254,EMP00752,2025-03-31,UK,Supply Chain,60.4,63.2,67.5,64.2,69.6,0
SRV0002255,EMP00752,2025-09-30,UK,Supply Chain,58.4,52.2,65.6,62.4,62.3,0
SRV0002256,EMP00752,2026-03-31,UK,Supply Chain,60.6,55.7,60.2,60.8,64.9,0
SRV0002257,EMP00753,2025-03-31,Netherlands,Supply Chain,64.5,58.5,60.6,67.8,57.4,0
SRV0002258,EMP00753,2025-09-30,Netherlands,Supply Chain,61.5,47.8,60.6,68.7,53.4,0
SRV0002259,EMP00753,2026-03-31,Netherlands,Supply Chain,63.3,57.0,49.9,70.3,62.7,0
SRV0002260,EMP00754,2025-03-31,UK,Customer Support,68.7,54.2,61.2,64.7,60.9,0
SRV0002261,EMP00754,2025-09-30,UK,Customer Support,72.1,52.7,60.0,61.1,66.4,1
SRV0002262,EMP00754,2026-03-31,UK,Customer Support,66.3,49.9,61.2,50.3,67.9,1
SRV0002263,EMP00755,2025-03-31,UK,Supply Chain,61.7,53.8,66.1,59.2,67.0,0
SRV0002264,EMP00755,2025-09-30,UK,Supply Chain,65.1,49.6,54.2,55.5,66.9,0
SRV0002265,EMP00755,2026-03-31,UK,Supply Chain,66.7,52.8,62.5,62.9,63.2,0
SRV0002266,EMP00756,2025-03-31,UK,Sales,80.0,68.9,63.1,74.9,60.3,0
SRV0002267,EMP00756,2025-09-30,UK,Sales,84.4,67.8,66.4,64.0,68.3,0
SRV0002268,EMP00756,2026-03-31,UK,Sales,79.7,70.1,70.7,63.5,60.8,0
SRV0002269,EMP00757,2025-03-31,France,Sales,54.6,53.3,60.2,58.4,61.1,0
SRV0002270,EMP00757,2025-09-30,France,Sales,57.2,63.4,64.3,61.9,65.2,0
SRV0002271,EMP00757,2026-03-31,France,Sales,60.6,49.4,66.9,60.2,61.0,1
SRV0002272,EMP00758,2025-03-31,UK,Technology,78.6,82.9,69.6,71.0,63.8,0
SRV0002273,EMP00758,2025-09-30,UK,Technology,91.4,72.4,66.7,78.0,65.9,0
SRV0002274,EMP00758,2026-03-31,UK,Technology,83.6,72.8,71.5,83.4,73.8,0
SRV0002275,EMP00759,2025-03-31,UK,Operations,55.6,37.8,54.7,41.9,52.7,1
SRV0002276,EMP00759,2025-09-30,UK,Operations,40.9,42.6,59.7,53.4,55.1,1
SRV0002277,EMP00759,2026-03-31,UK,Operations,42.4,38.8,54.2,51.3,59.8,0
SRV0002278,EMP00760,2025-03-31,UK,Finance,87.8,74.7,75.4,81.0,76.5,0
SRV0002279,EMP00760,2025-09-30,UK,Finance,79.5,83.8,69.9,72.3,74.6,1
SRV0002280,EMP00760,2026-03-31,UK,Finance,90.7,76.1,79.9,78.0,68.4,0
SRV0002281,EMP00761,2025-03-31,UK,Operations,67.9,51.4,52.9,61.3,58.8,0
SRV0002282,EMP00761,2025-09-30,UK,Operations,64.8,60.9,58.6,59.2,63.8,0
SRV0002283,EMP00761,2026-03-31,UK,Operations,63.6,51.7,54.9,59.1,59.2,0
SRV0002284,EMP00762,2025-03-31,Germany,Supply Chain,52.3,37.0,57.0,50.8,53.5,0
SRV0002285,EMP00762,2025-09-30,Germany,Supply Chain,53.8,42.6,46.6,49.1,59.2,0
SRV0002286,EMP00762,2026-03-31,Germany,Supply Chain,49.0,35.7,53.2,56.1,52.9,0
